CaseID,Activity,CompleteTimestamp,org:resource,org:role,case:Project,case:Task,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber,CumTimeInterval
5,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-06-12 12:13:06+00:00,STAFF MEMBER,SUPERVISOR,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146,13316148.0
5,,,,,,,,,,,,
5,Payment Handled,2017-06-15 17:31:12+00:00,SYSTEM,UNDEFINED,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146,13594434.0
6,,,,,,,,,,,,
6,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 14:57:53+00:00,STAFF MEMBER,SUPERVISOR,project 503,task 147599,organizational unit 65458,0.0,53.99955609576994,activity 505,request for payment number 147598,106835.0
6,,,,,,,,,,,,
6,Payment Handled,2017-01-30 17:31:40+00:00,SYSTEM,UNDEFINED,project 503,task 147599,organizational unit 65458,0.0,53.99955609576994,activity 505,request for payment number 147598,1844062.0
7,,,,,,,,,,,,
7,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 15:02:53+00:00,STAFF MEMBER,SUPERVISOR,project 147582,task 147599,organizational unit 65458,0.0,430.9164576442441,activity 505,request for payment number 149370,107135.0
7,,,,,,,,,,,,
7,Payment Handled,2017-01-30 17:31:40+00:00,SYSTEM,UNDEFINED,project 147582,task 147599,organizational unit 65458,0.0,430.9164576442441,activity 505,request for payment number 149370,1844062.0
8,,,,,,,,,,,,
8,Request For Payment APPROVED by PRE_APPROVER,2017-01-10 15:19:04+00:00,STAFF MEMBER,PRE_APPROVER,project 147582,UNKNOWN,organizational unit 65463,0.0,31.71504266521492,UNKNOWN,request for payment number 148224,108106.0
8,,,,,,,,,,,,
8,Request Payment,2017-01-10 15:30:50+00:00,SYSTEM,UNDEFINED,project 147582,UNKNOWN,organizational unit 65463,0.0,31.71504266521492,UNKNOWN,request for payment number 148224,108812.0
8,,,,,,,,,,,,
9,,,,,,,,,,,,
9,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-11 09:54:26+00:00,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65463,0.0,246.8039601180534,UNKNOWN,request for payment number 149831,175028.0
9,,,,,,,,,,,,
9,Payment Handled,2017-01-16 17:32:18+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65463,0.0,246.8039601180534,UNKNOWN,request for payment number 149831,634500.0
10,,,,,,,,,,,,
10,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-11 11:48:51+00:00,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65458,0.0,248.33579089019588,UNKNOWN,request for payment number 148630,181893.0
10,,,,,,,,,,,,
10,Payment Handled,2017-01-30 17:31:40+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,248.33579089019588,UNKNOWN,request for payment number 148630,1844062.0
11,,,,,,,,,,,,
11,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-12 09:08:56+00:00,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65458,0.0,325.2739525493613,UNKNOWN,request for payment number 147895,258698.0
11,,,,,,,,,,,,
11,Payment Handled,2017-01-16 17:32:18+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,325.2739525493613,UNKNOWN,request for payment number 147895,634500.0
12,,,,,,,,,,,,
12,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-12 11:12:51+00:00,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65458,0.0,96.47232713406254,UNKNOWN,request for payment number 147899,266133.0
12,,,,,,,,,,,,
12,Payment Handled,2017-01-16 17:32:18+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,96.47232713406254,UNKNOWN,request for payment number 147899,634500.0
13,,,,,,,,,,,,
13,Request For Payment APPROVED by PRE_APPROVER,2017-01-12 11:39:17+00:00,STAFF MEMBER,PRE_APPROVER,project 503,UNKNOWN,organizational unit 65463,0.0,460.89001284125504,UNKNOWN,request for payment number 148634,267719.0
13,,,,,,,,,,,,
13,Request Payment,2017-01-19 10:51:49+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65463,0.0,460.89001284125504,UNKNOWN,request for payment number 148634,869671.0
13,,,,,,,,,,,,
14,,,,,,,,,,,,
14,Request For Payment APPROVED by SUPERVISOR,2017-01-12 14:53:16+00:00,STAFF MEMBER,SUPERVISOR,project 147620,UNKNOWN,organizational unit 65463,0.0,4205.867568279362,UNKNOWN,request for payment number 149909,279358.0
14,,,,,,,,,,,,
14,Request Payment,2017-01-17 15:34:01+00:00,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65463,0.0,4205.867568279362,UNKNOWN,request for payment number 149909,713803.0
14,,,,,,,,,,,,
15,,,,,,,,,,,,
15,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-12 16:48:22+00:00,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65458,0.0,38.63303375588632,UNKNOWN,request for payment number 149295,286264.0
15,,,,,,,,,,,,
15,Payment Handled,2017-01-16 17:32:18+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,38.63303375588632,UNKNOWN,request for payment number 149295,634500.0
16,,,,,,,,,,,,
16,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-13 09:36:18+00:00,STAFF MEMBER,SUPERVISOR,project 147556,UNKNOWN,organizational unit 65463,0.0,112.586736524557,UNKNOWN,request for payment number 149914,346740.0
16,,,,,,,,,,,,
16,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 10:08:48+00:00,STAFF MEMBER,EMPLOYEE,project 147556,UNKNOWN,organizational unit 65463,0.0,112.586736524557,UNKNOWN,request for payment number 149914,607890.0
16,,,,,,,,,,,,
16,Request Payment,2017-01-20 10:44:56+00:00,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65463,0.0,112.586736524557,UNKNOWN,request for payment number 149914,955658.0
16,,,,,,,,,,,,
17,,,,,,,,,,,,
17,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-13 18:30:54+00:00,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65458,0.0,325.19910712796417,UNKNOWN,request for payment number 149224,378816.0
17,,,,,,,,,,,,
17,Payment Handled,2017-01-19 17:31:50+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,325.19910712796417,UNKNOWN,request for payment number 149224,893672.0
18,,,,,,,,,,,,
18,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-14 12:06:14+00:00,STAFF MEMBER,SUPERVISOR,project 147551,UNKNOWN,organizational unit 65458,0.0,185.5206789946729,UNKNOWN,request for payment number 148884,442136.0
18,,,,,,,,,,,,
18,Payment Handled,2017-01-30 17:31:40+00:00,SYSTEM,UNDEFINED,project 147551,UNKNOWN,organizational unit 65458,0.0,185.5206789946729,UNKNOWN,request for payment number 148884,1844062.0
19,,,,,,,,,,,,
19,Request For Payment APPROVED by PRE_APPROVER,2017-01-16 10:23:57+00:00,STAFF MEMBER,PRE_APPROVER,project 503,UNKNOWN,organizational unit 65463,0.0,41.02138175756728,UNKNOWN,request for payment number 149159,608799.0
19,,,,,,,,,,,,
19,Request Payment,2017-02-02 10:23:55+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65463,0.0,41.02138175756728,UNKNOWN,request for payment number 149159,2077597.0
19,,,,,,,,,,,,
20,,,,,,,,,,,,
20,Request For Payment REJECTED by PRE_APPROVER,2017-02-06 15:56:17+00:00,STAFF MEMBER,PRE_APPROVER,project 503,task 74419,organizational unit 65463,0.0,3441.5162056141467,activity 505,UNKNOWN,2443139.0
20,,,,,,,,,,,,
20,Request For Payment SUBMITTED by EMPLOYEE,2017-02-06 16:38:33+00:00,STAFF MEMBER,EMPLOYEE,project 503,task 74419,organizational unit 65463,0.0,3441.5162056141467,activity 505,UNKNOWN,2445675.0
20,,,,,,,,,,,,
20,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-06 17:06:26+00:00,STAFF MEMBER,SUPERVISOR,project 503,task 74419,organizational unit 65463,0.0,3441.5162056141467,activity 505,UNKNOWN,2447348.0
20,,,,,,,,,,,,
21,,,,,,,,,,,,
21,Request For Payment APPROVED by PRE_APPROVER,2017-01-16 13:09:50+00:00,STAFF MEMBER,PRE_APPROVER,project 147908,UNKNOWN,organizational unit 65458,0.0,3.934400805535731,UNKNOWN,request for payment number 148505,618752.0
21,,,,,,,,,,,,
21,Request Payment,2017-01-25 11:02:46+00:00,SYSTEM,UNDEFINED,project 147908,UNKNOWN,organizational unit 65458,0.0,3.934400805535731,UNKNOWN,request for payment number 148505,1388728.0
21,,,,,,,,,,,,
22,,,,,,,,,,,,
22,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-16 13:56:33+00:00,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65458,0.0,38.46467306686371,UNKNOWN,request for payment number 147939,621555.0
22,,,,,,,,,,,,
22,Payment Handled,2017-01-19 17:31:50+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,38.46467306686371,UNKNOWN,request for payment number 147939,893672.0
23,,,,,,,,,,,,
23,Request For Payment APPROVED by PRE_APPROVER,2017-01-16 16:19:49+00:00,STAFF MEMBER,PRE_APPROVER,project 503,task 147825,organizational unit 65463,0.0,23.42869687069603,activity 505,request for payment number 149661,630151.0
23,,,,,,,,,,,,
23,Request Payment,2017-01-18 15:38:44+00:00,SYSTEM,UNDEFINED,project 503,task 147825,organizational unit 65463,0.0,23.42869687069603,activity 505,request for payment number 149661,800486.0
23,,,,,,,,,,,,
24,,,,,,,,,,,,
24,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 10:40:02+00:00,STAFF MEMBER,SUPERVISOR,project 147556,UNKNOWN,organizational unit 65463,0.0,6.626098975813822,UNKNOWN,request for payment number 147747,696164.0
24,,,,,,,,,,,,
24,Payment Handled,2017-01-26 17:30:47+00:00,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65463,0.0,6.626098975813822,UNKNOWN,request for payment number 147747,1498409.0
25,,,,,,,,,,,,
25,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 12:03:30+00:00,STAFF MEMBER,SUPERVISOR,project 147620,UNKNOWN,organizational unit 65458,0.0,53.01544358794025,UNKNOWN,request for payment number 149155,701172.0
25,,,,,,,,,,,,
25,Payment Handled,2017-01-23 17:32:19+00:00,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65458,0.0,53.01544358794025,UNKNOWN,request for payment number 149155,1239301.0
26,,,,,,,,,,,,
26,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 13:34:53+00:00,STAFF MEMBER,SUPERVISOR,project 147843,UNKNOWN,organizational unit 65463,0.0,128.05998076667805,UNKNOWN,request for payment number 147903,706655.0
26,,,,,,,,,,,,
26,Payment Handled,2017-01-26 17:30:47+00:00,SYSTEM,UNDEFINED,project 147843,UNKNOWN,organizational unit 65463,0.0,128.05998076667805,UNKNOWN,request for payment number 147903,1498409.0
27,,,,,,,,,,,,
27,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 13:57:08+00:00,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65463,0.0,31.614353447309774,UNKNOWN,UNKNOWN,707990.0
27,,,,,,,,,,,,
28,,,,,,,,,,,,
28,Request For Payment APPROVED by PRE_APPROVER,2017-01-17 14:52:18+00:00,STAFF MEMBER,PRE_APPROVER,project 147531,UNKNOWN,organizational unit 65458,0.0,25.34672207446496,UNKNOWN,request for payment number 148148,711300.0
28,,,,,,,,,,,,
28,Request Payment,2017-01-17 15:42:04+00:00,SYSTEM,UNDEFINED,project 147531,UNKNOWN,organizational unit 65458,0.0,25.34672207446496,UNKNOWN,request for payment number 148148,714286.0
28,,,,,,,,,,,,
29,,,,,,,,,,,,
29,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 15:13:11+00:00,STAFF MEMBER,SUPERVISOR,project 147908,UNKNOWN,organizational unit 65463,0.0,1699.9224747160142,UNKNOWN,request for payment number 147907,712553.0
29,,,,,,,,,,,,
29,Payment Handled,2017-01-23 17:32:19+00:00,SYSTEM,UNDEFINED,project 147908,UNKNOWN,organizational unit 65463,0.0,1699.9224747160142,UNKNOWN,request for payment number 147907,1239301.0
30,,,,,,,,,,,,
30,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 16:48:58+00:00,STAFF MEMBER,SUPERVISOR,project 147582,UNKNOWN,organizational unit 65458,0.0,46.53304952089496,UNKNOWN,request for payment number 148888,718300.0
30,,,,,,,,,,,,
30,Payment Handled,2017-01-23 17:32:19+00:00,SYSTEM,UNDEFINED,project 147582,UNKNOWN,organizational unit 65458,0.0,46.53304952089496,UNKNOWN,request for payment number 148888,1239301.0
31,,,,,,,,,,,,
31,Request For Payment APPROVED by PRE_APPROVER,2017-01-18 09:44:39+00:00,STAFF MEMBER,PRE_APPROVER,project 147551,UNKNOWN,organizational unit 65463,0.0,130.32384196154325,UNKNOWN,request for payment number 148434,779241.0
31,,,,,,,,,,,,
31,Request Payment,2017-01-25 11:02:51+00:00,SYSTEM,UNDEFINED,project 147551,UNKNOWN,organizational unit 65463,0.0,130.32384196154325,UNKNOWN,request for payment number 148434,1388733.0
31,,,,,,,,,,,,
32,,,,,,,,,,,,
32,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-18 10:53:04+00:00,STAFF MEMBER,SUPERVISOR,project 147551,UNKNOWN,organizational unit 65458,0.0,78.89250361246872,UNKNOWN,request for payment number 147920,783346.0
32,,,,,,,,,,,,
32,Payment Handled,2017-01-23 17:32:19+00:00,SYSTEM,UNDEFINED,project 147551,UNKNOWN,organizational unit 65458,0.0,78.89250361246872,UNKNOWN,request for payment number 147920,1239301.0
33,,,,,,,,,,,,
33,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-18 11:26:45+00:00,STAFF MEMBER,SUPERVISOR,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 147912,785367.0
33,,,,,,,,,,,,
33,Payment Handled,2017-01-23 17:32:19+00:00,SYSTEM,UNDEFINED,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 147912,1239301.0
34,,,,,,,,,,,,
34,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-18 12:02:05+00:00,STAFF MEMBER,SUPERVISOR,project 147531,UNKNOWN,organizational unit 65458,0.0,41.827541106078606,UNKNOWN,request for payment number 149835,787487.0
34,,,,,,,,,,,,
34,Payment Handled,2017-01-30 17:31:40+00:00,SYSTEM,UNDEFINED,project 147531,UNKNOWN,organizational unit 65458,0.0,41.827541106078606,UNKNOWN,request for payment number 149835,1844062.0
35,,,,,,,,,,,,
35,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-18 22:08:33+00:00,STAFF MEMBER,SUPERVISOR,project 147742,task 55559,organizational unit 65458,0.0,817.3563723766118,activity 505,request for payment number 147916,823875.0
35,,,,,,,,,,,,
35,Payment Handled,2017-01-23 17:32:19+00:00,SYSTEM,UNDEFINED,project 147742,task 55559,organizational unit 65458,0.0,817.3563723766118,activity 505,request for payment number 147916,1239301.0
36,,,,,,,,,,,,
36,Request For Payment APPROVED by PRE_APPROVER,2017-01-19 14:52:36+00:00,STAFF MEMBER,PRE_APPROVER,project 503,task 15842,organizational unit 65463,0.0,341.6368893649786,activity 505,request for payment number 147943,884118.0
36,,,,,,,,,,,,
36,Request Payment,2017-01-23 13:05:49+00:00,SYSTEM,UNDEFINED,project 503,task 15842,organizational unit 65463,0.0,341.6368893649786,activity 505,request for payment number 147943,1223311.0
36,,,,,,,,,,,,
37,,,,,,,,,,,,
37,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-20 11:15:35+00:00,STAFF MEMBER,SUPERVISOR,project 147531,UNKNOWN,organizational unit 65463,0.0,16.162085783619368,UNKNOWN,request for payment number 147751,957497.0
37,,,,,,,,,,,,
37,Payment Handled,2017-01-26 17:30:47+00:00,SYSTEM,UNDEFINED,project 147531,UNKNOWN,organizational unit 65463,0.0,16.162085783619368,UNKNOWN,request for payment number 147751,1498409.0
38,,,,,,,,,,,,
38,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-24 14:31:20+00:00,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65458,0.0,8.495698109401438,UNKNOWN,request for payment number 148229,1314842.0
38,,,,,,,,,,,,
38,Payment Handled,2017-01-30 17:31:40+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,8.495698109401438,UNKNOWN,request for payment number 148229,1844062.0
39,,,,,,,,,,,,
39,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-24 14:51:06+00:00,STAFF MEMBER,SUPERVISOR,project 147582,task 147756,organizational unit 65458,0.0,1249.8715657014827,activity 505,request for payment number 147755,1316028.0
39,,,,,,,,,,,,
39,Payment Handled,2017-01-30 17:31:40+00:00,SYSTEM,UNDEFINED,project 147582,task 147756,organizational unit 65458,0.0,1249.8715657014827,activity 505,request for payment number 147755,1844062.0
40,,,,,,,,,,,,
40,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-26 10:19:03+00:00,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65458,0.0,6.617545567312693,UNKNOWN,request for payment number 149205,1472505.0
40,,,,,,,,,,,,
40,Payment Handled,2017-01-30 17:31:40+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,6.617545567312693,UNKNOWN,request for payment number 149205,1844062.0
41,,,,,,,,,,,,
41,Request For Payment REJECTED by PRE_APPROVER,2017-01-26 11:54:39+00:00,STAFF MEMBER,PRE_APPROVER,project 503,UNKNOWN,organizational unit 65463,0.0,12.955840539247667,UNKNOWN,UNKNOWN,1478241.0
41,,,,,,,,,,,,
41,Request For Payment SUBMITTED by EMPLOYEE,2017-02-01 12:54:23+00:00,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65463,0.0,12.955840539247667,UNKNOWN,UNKNOWN,2000225.0
41,,,,,,,,,,,,
41,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-01 15:51:13+00:00,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65463,0.0,12.955840539247667,UNKNOWN,UNKNOWN,2010835.0
41,,,,,,,,,,,,
42,,,,,,,,,,,,
42,Request For Payment REJECTED by PRE_APPROVER,2017-01-26 11:55:39+00:00,STAFF MEMBER,PRE_APPROVER,project 503,UNKNOWN,organizational unit 65463,0.0,28.07098783503661,UNKNOWN,UNKNOWN,1478301.0
42,,,,,,,,,,,,
42,Request For Payment SUBMITTED by EMPLOYEE,2017-02-01 12:53:47+00:00,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65463,0.0,28.07098783503661,UNKNOWN,UNKNOWN,2000189.0
42,,,,,,,,,,,,
42,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-01 15:51:38+00:00,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65463,0.0,28.07098783503661,UNKNOWN,UNKNOWN,2010860.0
42,,,,,,,,,,,,
43,,,,,,,,,,,,
43,Request For Payment APPROVED by PRE_APPROVER,2017-01-26 14:01:14+00:00,STAFF MEMBER,PRE_APPROVER,project 503,task 148448,organizational unit 65458,0.0,1031.6698327131896,activity 505,request for payment number 148447,1485836.0
43,,,,,,,,,,,,
43,Request Payment,2017-01-27 14:34:02+00:00,SYSTEM,UNDEFINED,project 503,task 148448,organizational unit 65458,0.0,1031.6698327131896,activity 505,request for payment number 148447,1574204.0
43,,,,,,,,,,,,
44,,,,,,,,,,,,
44,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-27 11:36:30+00:00,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65458,0.0,6.117806656383548,UNKNOWN,request for payment number 147760,1563552.0
44,,,,,,,,,,,,
44,Payment Handled,2017-02-20 17:32:08+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,6.117806656383548,UNKNOWN,request for payment number 147760,3658490.0
45,,,,,,,,,,,,
45,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-27 13:06:41+00:00,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65458,0.0,5.580431142262634,UNKNOWN,request for payment number 148395,1568963.0
45,,,,,,,,,,,,
45,Payment Handled,2017-02-20 17:32:08+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,5.580431142262634,UNKNOWN,request for payment number 148395,3658490.0
46,,,,,,,,,,,,
46,Request For Payment APPROVED by PRE_APPROVER,2017-01-27 16:04:58+00:00,STAFF MEMBER,PRE_APPROVER,project 147546,UNKNOWN,organizational unit 65457,0.0,186.4984528352629,UNKNOWN,request for payment number 147764,1579660.0
46,,,,,,,,,,,,
46,Request Payment,2017-02-02 14:30:14+00:00,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65457,0.0,186.4984528352629,UNKNOWN,request for payment number 147764,2092376.0
46,,,,,,,,,,,,
47,,,,,,,,,,,,
47,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-29 12:58:26+00:00,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65458,0.0,307.46939935872024,UNKNOWN,request for payment number 147983,1741268.0
47,,,,,,,,,,,,
47,Payment Handled,2017-02-02 17:32:54+00:00,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,307.46939935872024,UNKNOWN,request for payment number 147983,2103336.0
48,,,,,,,,,,,,
48,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 08:48:58+00:00,STAFF MEMBER,SUPERVISOR,project 147620,UNKNOWN,organizational unit 65458,0.0,189.58082016226803,UNKNOWN,request for payment number 148766,1812700.0
48,,,,,,,,,,,,
48,Payment Handled,2017-02-20 17:32:08+00:00,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65458,0.0,189.58082016226803,UNKNOWN,request for payment number 148766,3658490.0
49,,,,,,,,,,,,
49,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 10:06:32+00:00,STAFF MEMBER,SUPERVISOR,project 147556,task 74099,organizational unit 65463,0.0,15.199653339264287,activity 505,request for payment number 148233,1817354.0
49,,,,,,,,,,,,
49,Payment Handled,2017-02-02 17:32:54+00:00,SYSTEM,UNDEFINED,project 147556,task 74099,organizational unit 65463,0.0,15.199653339264287,activity 505,request for payment number 148233,2103336.0
50,,,,,,,,,,,,
50,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 10:16:50+00:00,STAFF MEMBER,SUPERVISOR,project 503,task 79257,organizational unit 65463,0.0,213.9119309902756,activity 505,request for payment number 147769,1817972.0
50,,,,,,,,,,,,
50,Payment Handled,2017-02-02 17:32:54+00:00,SYSTEM,UNDEFINED,project 503,task 79257,organizational unit 65463,0.0,213.9119309902756,activity 505,request for payment number 147769,2103336.0
51,,,,,,,,,,,,
51,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 11:22:40+00:00,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65463,0.0,21.575440549026123,UNKNOWN,request for payment number 149374,1821922.0
51,,,,,,,,,,,,
