CaseID,Activity,time:timestamp,REPAIR_IN_TIME_5D,DEVICETYPE,org:resource
12,Approved,18.89994927736838,0,AB62,E
12,NoteHotline,18.899949481716295,0,AB62,E
12,NoteWorkshop,18.899965284495433,0,AB62,E
12,StockEntry,18.907128560871456,0,AB62,E
12,InDelivery,18.907128560871456,0,AB62,E
12,Completed,18.907357513164783,0,AB62,E
13,Creation,18.888631298331482,1,AB49,E
13,NoteHotline,18.888632450694278,1,AB49,E
13,DeviceReceived,18.891342643990335,1,AB49,E
13,InDelivery,18.89160408763109,1,AB49,E
13,NoteWorkshop,18.89179222180715,1,AB49,E
13,Completed,18.891796048807734,1,AB49,E
14,Creation,18.88855205767836,1,AB53,G
14,Letter,18.888902924860847,1,AB53,G
14,InDelivery,18.888902924860847,1,AB53,G
14,DeviceReceived,18.8892116079616,1,AB53,G
14,NoteWorkshop,18.889212477991627,1,AB53,G
14,Completed,18.889229102304892,1,AB53,G
15,Creation,18.88876850158758,0,AB50,L
15,Letter,18.88944374143267,0,AB50,L
15,DeviceReceived,18.88971216325513,0,AB50,L
15,NoteWorkshop,18.892427347086215,0,AB50,L
15,InDelivery,18.909781003788225,0,AB50,L
15,Completed,18.909964842134507,0,AB50,L
16,Creation,18.88857475576923,0,AB50,L
16,Letter,18.88944374143267,0,AB50,L
16,NoteWorkshop,18.889700026387704,0,AB50,L
16,DeviceReceived,18.88970103988433,0,AB50,L
16,InDelivery,18.908190382441646,0,AB50,L
16,Completed,18.908379290637523,0,AB50,L
17,Creation,18.88857475576923,0,AB44,L
17,Letter,18.88944374143267,0,AB44,L
17,DeviceReceived,18.889713358165558,0,AB44,L
17,InDelivery,18.892682513086314,0,AB44,L
17,Completed,18.892823464959136,0,AB44,L
18,Creation,18.888695045797796,0,AB45,E
18,Letter,18.88944374143267,0,AB45,E
18,DeviceReceived,18.88971190049977,0,AB45,E
18,StockEntry,18.89591082895293,0,AB45,E
18,InDelivery,18.89591082895293,0,AB45,E
18,Completed,18.89613066518844,0,AB45,E
19,Letter,18.8048896784776,0,AB36,
19,Creation,18.80516162174638,0,AB36,
19,DeviceReceived,18.80516194172419,0,AB36,
19,NoteHotline,18.805161962148304,0,AB36,
19,InDelivery,18.808413709430877,0,AB36,
19,NoteWorkshop,18.808754488529875,0,AB36,
19,Completed,18.80875486162908,0,AB36,
20,Creation,18.889109089339744,0,AB61,E
20,DeviceReceived,18.892428819516486,0,AB61,E
20,Transmission,18.897245141712446,0,AB61,E
20,NoteHotline,18.897245551514903,0,AB61,E
20,StockEntry,18.907128560871456,0,AB61,E
20,InDelivery,18.907128560871456,0,AB61,E
20,Completed,18.907331414119447,0,AB61,E
21,Creation,18.889118735727127,0,AB52,L
21,Letter,18.899664072249504,0,AB52,L
21,DeviceReceived,18.899860481150725,0,AB52,L
21,Transmission,18.902668698437925,0,AB52,L
21,InDelivery,18.90286996389656,0,AB52,L
21,Approved,18.90305699689013,0,AB52,L
21,NoteHotline,18.903057046275308,0,AB52,L
21,Completed,18.903068713455475,0,AB52,L
22,Creation,18.88912781864537,0,AB62,E
22,DeviceReceived,18.90315535498533,0,AB62,E
22,Letter,18.910840014158016,0,AB62,E
22,NoteWorkshop,18.911087383953546,0,AB62,E
22,Transmission,18.911579467260587,0,AB62,E
22,NoteHotline,18.91164006095468,0,AB62,E
22,StockEntry,18.92502796007849,0,AB62,E
22,InDelivery,18.92502796007849,0,AB62,E
22,Completed,18.925325354553262,0,AB62,E
23,Creation,18.889137734018103,1,AB16,E
23,NoteHotline,18.889138610372076,1,AB16,E
23,Letter,18.89106443846415,1,AB16,E
23,DeviceReceived,18.891349170921117,1,AB16,E
23,StockEntry,18.89160408763109,1,AB16,E
23,InDelivery,18.89160408763109,1,AB16,E
23,Completed,18.89178971208593,1,AB16,E
24,Creation,18.889157044925856,0,AB36,E
24,DeviceReceived,18.889706551536282,0,AB36,E
24,StockEntry,18.89591082895293,0,AB36,E
24,InDelivery,18.89591082895293,0,AB36,E
24,NoteWorkshop,18.896116200328024,0,AB36,E
24,Completed,18.896133934827077,0,AB36,E
25,Creation,18.889171160118465,0,AB62,L
25,DeviceReceived,18.89293120343356,0,AB62,L
25,Letter,18.893221290001698,0,AB62,L
25,Transmission,18.895566299679334,0,AB62,L
25,Approved,18.89627714818507,0,AB62,L
25,NoteHotline,18.89627722276678,0,AB62,L
25,InDelivery,18.896447869797015,0,AB62,L
25,Completed,18.89662483118675,0,AB62,L
26,Creation,18.889108895284274,0,AB29,L
26,DeviceReceived,18.89354026001842,0,AB29,L
26,Letter,18.894835881250938,0,AB29,L
26,InDelivery,18.896447869797015,0,AB29,L
26,Transmission,18.8966386363379,0,AB29,L
26,Approved,18.896723500902,0,AB29,L
26,NoteHotline,18.896723705910162,0,AB29,L
26,Completed,18.896736664825678,0,AB29,L
27,Creation,18.889130266199167,1,AB34,L
27,DeviceReceived,18.892369178116887,1,AB34,L
27,InDelivery,18.893221290001698,1,AB34,L
27,Completed,18.893484343370506,1,AB34,L
28,Creation,18.889133396054632,0,AB25,E
28,DeviceReceived,18.889695115293815,0,AB25,E
28,NoteHotline,18.89235395991221,0,AB25,E
28,InDelivery,18.893221290001698,0,AB25,E
28,Completed,18.893559747843415,0,AB25,E
29,Creation,18.88917395809529,0,AB40,L
29,DeviceReceived,18.89187213003559,0,AB40,L
29,NoteWorkshop,18.891873060179716,0,AB40,L
29,InDelivery,18.894835881250938,0,AB40,L
29,Completed,18.894994066862985,0,AB40,L
30,Creation,18.889182552279404,0,AB52,L
30,Letter,18.893221290001698,0,AB52,L
30,DeviceReceived,18.89349033280877,0,AB52,L
30,Transmission,18.895686572561914,0,AB52,L
30,InDelivery,18.89698462238303,0,AB52,L
30,Approved,18.897189146215666,0,AB52,L
30,NoteHotline,18.89718919589148,0,AB52,L
30,Completed,18.8972022915923,0,AB52,L
31,Creation,18.889227155722256,0,AB62,E
31,Letter,18.892682513086314,0,AB62,E
31,DeviceReceived,18.892939278986084,0,AB62,E
31,Transmission,18.898944464519715,0,AB62,E
31,Approved,18.89897097552515,0,AB62,E
31,NoteHotline,18.898971074699904,0,AB62,E
31,NoteWorkshop,18.89930500232033,0,AB62,E
31,StockEntry,18.907128560871456,0,AB62,E
31,InDelivery,18.907128560871456,0,AB62,E
31,Completed,18.907320140793118,0,AB62,E
32,Creation,18.889231687310705,1,AB8,E
32,Letter,18.89698462238303,1,AB8,E
32,DeviceReceived,18.897237858377117,1,AB8,E
32,InDelivery,18.89859315368298,1,AB8,E
32,NoteHotline,18.898767733385213,1,AB8,E
32,NoteWorkshop,18.898802196827134,1,AB8,E
32,Completed,18.898802221625008,1,AB8,E
33,Creation,18.8892337089934,1,AB41,E
33,Letter,18.89106443846415,1,AB41,E
33,DeviceReceived,18.89135386154076,1,AB41,E
33,StockEntry,18.89160408763109,1,AB41,E
33,InDelivery,18.89160408763109,1,AB41,E
33,NoteWorkshop,18.891818760787135,1,AB41,E
33,Completed,18.89183134017992,1,AB41,E
34,Creation,18.805129303459932,0,AB61,L
34,DeviceReceived,18.806858249716228,0,AB61,L
34,Letter,18.81017107877432,0,AB61,L
34,InDelivery,18.81309318205916,0,AB61,L
34,Completed,18.813279339011643,0,AB61,L
34,NoteHotline,18.96875115116151,0,AB61,L
35,Creation,18.88925018273845,0,AC68,E
35,DeviceReceived,18.892377538983574,0,AC68,E
35,StatusRequest,18.89562256647661,0,AC68,E
35,NoteWorkshop,18.895692393355173,0,AC68,E
35,Transmission,18.895705894231334,0,AC68,E
35,Approved,18.895716192335836,0,AC68,E
35,NoteHotline,18.895716963445675,0,AC68,E
35,Completed,18.895718424821556,0,AC68,E
35,InDelivery,18.89591082895293,0,AC68,E
36,Creation,18.889251321870365,0,AB49,L
36,DeviceReceived,18.89353802889686,0,AB49,L
36,Transmission,18.896769005471,0,AB49,L
36,Approved,18.896780541249115,0,AB49,L
36,NoteHotline,18.896780609581274,0,AB49,L
36,InDelivery,18.89698462238303,0,AB49,L
36,Completed,18.8971408663657,0,AB49,L
37,Creation,18.88925828807191,0,AB49,E
37,Approved,18.88925925194503,0,AB49,E
37,NoteHotline,18.88926066645845,0,AB49,E
37,DeviceReceived,18.89614154943836,0,AB49,E
37,StockEntry,18.906597226987458,0,AB49,E
37,InDelivery,18.906597226987458,0,AB49,E
37,Completed,18.9069090078413,0,AB49,E
37,NoteWorkshop,18.906909862609513,0,AB49,E
38,Creation,18.889264578266115,1,AB38,L
38,DeviceReceived,18.893940690637,1,AB38,L
38,Letter,18.895373499540998,1,AB38,L
38,InDelivery,18.89591082895293,1,AB38,L
38,Transmission,18.89611469602026,1,AB38,L
38,Approved,18.89612587881602,1,AB38,L
38,NoteHotline,18.896126525288437,1,AB38,L
38,Completed,18.896134842367466,1,AB38,L
39,Letter,18.888902924860847,1,AB36,
39,InDelivery,18.888902924860847,1,AB36,
39,Creation,18.88917075951264,1,AB36,
39,DeviceReceived,18.88917166713498,1,AB36,
39,NoteWorkshop,18.889173106810105,1,AB36,
39,Completed,18.88921931302135,1,AB36,
40,Letter,18.888902924860847,1,AB53,
40,Creation,18.889167573438737,1,AB53,
40,DeviceReceived,18.889167598476686,1,AB53,
40,NoteWorkshop,18.889170496614984,1,AB53,
40,InDelivery,18.88944374143267,1,AB53,
40,Completed,18.889630493061464,1,AB53,
41,Letter,18.888902924860847,1,AB52,
41,Creation,18.889261661623774,1,AB52,
41,DeviceReceived,18.889261680400466,1,AB52,
41,StockEntry,18.88944374143267,1,AB52,
41,InDelivery,18.88944374143267,1,AB52,
41,NoteWorkshop,18.889647973821756,1,AB52,
41,Completed,18.889672736666373,1,AB52,
42,Creation,18.80513803161075,0,AB52,L
42,DeviceReceived,18.80694600905339,0,AB52,L
42,Letter,18.809585632075805,0,AB52,L
42,StatusRequest,18.809998922551213,0,AB52,L
42,Transmission,18.814120766324514,0,AB52,L
42,InDelivery,18.814259636724916,0,AB52,L
42,Approved,18.814458722845874,0,AB52,L
42,NoteHotline,18.814458776806177,0,AB52,L
42,Completed,18.81449931366036,0,AB52,L
43,Creation,18.889120175478457,0,AB61,L
43,DeviceReceived,18.89354683494266,0,AB61,L
43,Letter,18.894835881250938,0,AB61,L
43,Transmission,18.89675422680799,0,AB61,L
43,InDelivery,18.90233636184571,0,AB61,L
43,Approved,18.902560694674683,0,AB61,L
43,Completed,18.90256570974627,0,AB61,L
43,NoteHotline,18.902567729355436,0,AB61,L
44,Creation,18.889133715299337,0,AB40,E
44,DeviceReceived,18.892943251260967,0,AB40,E
44,Letter,18.89859315368298,0,AB40,E
44,StatusRequest,18.89886338371402,0,AB40,E
44,Transmission,18.89887737496152,0,AB40,E
44,StockEntry,18.90073384517623,0,AB40,E
44,InDelivery,18.90073384517623,0,AB40,E
44,Approved,18.900994237183763,0,AB40,E
44,NoteHotline,18.90099447224772,0,AB40,E
44,NoteWorkshop,18.9010280981963,0,AB40,E
44,Completed,18.901034543659215,0,AB40,E
45,Creation,18.889135411676364,0,AB65,E
45,Letter,18.88944374143267,0,AB65,E
45,DeviceReceived,18.889712957776883,0,AB65,E
45,Transmission,18.89612578557477,0,AB65,E
45,Approved,18.89626030500645,0,AB65,E
45,NoteHotline,18.89626037337417,0,AB65,E
45,StockEntry,18.899128756324558,0,AB65,E
45,InDelivery,18.899128756324558,0,AB65,E
45,Completed,18.899449304961124,0,AB65,E
45,NoteWorkshop,18.899451578691824,0,AB65,E
46,Creation,18.889171936291792,0,AB60,J
46,DeviceReceived,18.89199618115169,0,AB60,J
46,InDelivery,18.894835881250938,0,AB60,J
46,NoteWorkshop,18.89523227828221,0,AB60,J
46,Completed,18.895235805945944,0,AB60,J
46,NoteHotline,19.014143767802683,0,AB60,J
47,Creation,18.889173325890923,0,AB8,E
47,DeviceReceived,18.889697918061177,0,AB8,E
47,NoteWorkshop,18.896117275720204,0,AB8,E
47,StatusRequest,18.89626109434256,0,AB8,E
47,NoteHotline,18.896261653714227,0,AB8,E
47,Letter,18.896447869797015,0,AB8,E
47,StockEntry,18.896447869797015,0,AB8,E
47,InDelivery,18.896447869797015,0,AB8,E
47,Completed,18.896706354616022,0,AB8,E
48,Creation,18.889185876011794,0,AB53,E
48,NoteHotline,18.88918643935517,0,AB53,E
48,Letter,18.89106443846415,0,AB53,E
48,DeviceReceived,18.891323306536716,0,AB53,E
48,StockEntry,18.89591082895293,0,AB53,E
48,InDelivery,18.89591082895293,0,AB53,E
48,NoteWorkshop,18.896240913246526,0,AB53,E
48,Completed,18.896241410475838,0,AB53,E
49,Creation,18.889190589308274,0,AB38,E
49,NoteHotline,18.889191346688506,0,AB38,E
49,Letter,18.89106443846415,0,AB38,E
49,DeviceReceived,18.891331139000002,0,AB38,E
49,StockEntry,18.896447869797015,0,AB38,E
49,InDelivery,18.896447869797015,0,AB38,E
49,NoteWorkshop,18.896684492675014,0,AB38,E
49,Completed,18.89668554260581,0,AB38,E
50,Creation,18.889211307519396,1,AB8,E
50,DeviceReceived,18.89135171297737,1,AB8,E
50,NoteWorkshop,18.891352300085266,1,AB8,E
50,InDelivery,18.89160408763109,1,AB8,E
50,Completed,18.89182353036213,1,AB8,E
51,Creation,18.889262012122014,0,AB31,L
51,DeviceReceived,18.893975844109647,0,AB31,L
51,Letter,18.895373499540998,0,AB31,L
51,Transmission,18.895592371744687,0,AB31,L
51,Approved,18.90048174680935,0,AB31,L
51,NoteHotline,18.900481790132808,0,AB31,L
51,InDelivery,18.90073384517623,0,AB31,L
51,Completed,18.900935525136703,0,AB31,L
52,Creation,18.80513906645665,0,AB27,L
52,DeviceReceived,18.806317469232678,0,AB27,L
52,StatusRequest,18.809381905693584,0,AB27,L
52,Transmission,18.80986263038464,0,AB27,L
52,NoteHotline,18.80989241094511,0,AB27,L
52,Approved,18.80989244482465,0,AB27,L
52,InDelivery,18.81367657946909,0,AB27,L
52,Completed,18.813835341038732,0,AB27,L
53,Creation,18.889266493481568,1,AB10,E
53,Letter,18.89106443846415,1,AB10,E
53,DeviceReceived,18.891345966796784,1,AB10,E
53,StockEntry,18.89160408763109,1,AB10,E
53,InDelivery,18.89160408763109,1,AB10,E
53,NoteHotline,18.89182762568586,1,AB10,E
53,NoteWorkshop,18.891851791500105,1,AB10,E
53,Completed,18.89185448834628,1,AB10,E
54,Creation,18.88915304506343,1,AB47,E
54,NoteHotline,18.88915556141067,1,AB47,E
54,Letter,18.892682513086314,1,AB47,E
54,StockEntry,18.892682513086314,1,AB47,E
54,InDelivery,18.892682513086314,1,AB47,E
54,DeviceReceived,18.89291811404041,1,AB47,E
54,NoteWorkshop,18.893014936574293,1,AB47,E
54,Completed,18.893038811830923,1,AB47,E
55,Creation,18.889116382042225,1,AB20,L
55,Letter,18.89160408763109,1,AB20,L
55,DeviceReceived,18.891818935588716,1,AB20,L
55,InDelivery,18.893221290001698,1,AB20,L
55,Transmission,18.893446679514692,1,AB20,L
55,Approved,18.893473897604615,1,AB20,L
55,Completed,18.893540116678356,1,AB20,L
55,NoteHotline,18.89514472352948,1,AB20,L
56,Creation,18.80514033958797,0,AB44,L
56,DeviceReceived,18.810419505432172,0,AB44,L
56,Letter,18.81367657946909,0,AB44,L
56,StatusRequest,18.814006905601197,0,AB44,L
56,Transmission,18.814590127785994,0,AB44,L
56,Approved,18.814650418684337,0,AB44,L
56,NoteHotline,18.81465046589055,0,AB44,L
56,InDelivery,18.814842354223067,0,AB44,L
56,Completed,18.81503310019109,0,AB44,L
57,Creation,18.889169470061557,1,AB19,E
57,NoteHotline,18.889170014635763,1,AB19,E
57,Letter,18.89106443846415,1,AB19,E
57,StockEntry,18.89106443846415,1,AB19,E
57,DeviceReceived,18.891326223418172,1,AB19,E
57,Completed,18.89142112048316,1,AB19,E
57,InDelivery,18.89160408763109,1,AB19,E
57,NoteWorkshop,18.891785922519812,1,AB19,E
58,Creation,18.88917074073424,0,AB59,L
58,DeviceReceived,18.895551210907318,0,AB59,L
58,NoteWorkshop,18.896089029197334,0,AB59,L
58,StatusRequest,18.89613716094294,0,AB59,L
58,NoteHotline,18.89613756498369,0,AB59,L
58,InDelivery,18.910840014158016,0,AB59,L
58,Completed,18.911011213560794,0,AB59,L
59,Creation,18.88919165339604,1,AB34,J
59,NoteHotline,18.889204434879417,1,AB34,J
59,DeviceReceived,18.890348129174416,1,AB34,J
59,NoteWorkshop,18.89196695658627,1,AB34,J
59,InDelivery,18.89214344573388,1,AB34,J
59,Completed,18.89240949057708,1,AB34,J
60,Creation,18.88925646046578,0,AB60,E
60,Letter,18.89214344573388,0,AB60,E
60,DeviceReceived,18.892435133472546,0,AB60,E
60,NoteHotline,18.892436025658775,0,AB60,E
60,StockEntry,18.89698462238303,0,AB60,E
60,InDelivery,18.89698462238303,0,AB60,E
60,NoteWorkshop,18.897266892056244,0,AB60,E
60,Completed,18.897269922040902,0,AB60,E
61,Creation,18.889272264141244,0,AB62,L
61,DeviceReceived,18.907903408540015,0,AB62,L
61,StatusRequest,18.94091499940377,0,AB62,L
61,NoteHotline,18.940915041010463,0,AB62,L
61,InDelivery,18.950273294155632,0,AB62,L
61,Completed,18.950541853778105,0,AB62,L
62,Creation,18.80514392068663,0,AB38,L
62,DeviceReceived,18.809838276748373,0,AB38,L
62,Letter,18.814259636724916,0,AB38,L
62,Transmission,18.81504909684734,0,AB38,L
62,Approved,18.81511184063762,0,AB38,L
62,NoteHotline,18.81511211700358,0,AB38,L
62,InDelivery,18.81658847212537,0,AB38,L
62,Completed,18.816778871891927,0,AB38,L
63,Creation,18.889092193853006,1,AB62,L
63,DeviceReceived,18.892277803014252,1,AB62,L
63,Letter,18.892682513086314,1,AB62,L
63,InDelivery,18.894835881250938,1,AB62,L
63,Transmission,18.895055512085502,1,AB62,L
63,Approved,18.895120985612387,1,AB62,L
63,NoteHotline,18.895121047835712,1,AB62,L
63,Completed,18.895129591061337,1,AB62,L
64,Letter,18.888902924860847,1,AB62,L
64,Creation,18.889113439928312,1,AB62,L
64,DeviceReceived,18.89228821760179,1,AB62,L
64,InDelivery,18.893221290001698,1,AB62,L
64,Completed,18.893468755704838,1,AB62,L
65,Creation,18.889131605778505,0,AB62,E
65,Letter,18.88944374143267,0,AB62,E
65,DeviceReceived,18.889682158648835,0,AB62,E
65,NoteWorkshop,18.8955953943686,0,AB62,E
65,Transmission,18.895625663639574,0,AB62,E
65,NoteHotline,18.895625999475946,0,AB62,E
65,StockEntry,18.907128560871456,0,AB62,E
65,InDelivery,18.907128560871456,0,AB62,E
65,Completed,18.907471324331958,0,AB62,E
66,Letter,18.888902924860847,0,AB36,J
66,Creation,18.889142084482053,0,AB36,J
66,DeviceReceived,18.89035053623074,0,AB36,J
66,NoteWorkshop,18.891970015156197,0,AB36,J
66,InDelivery,18.893221290001698,0,AB36,J
66,Completed,18.893574580023653,0,AB36,J
67,Creation,18.889162083853403,1,AB21,L
67,DeviceReceived,18.89230658794597,1,AB21,L
67,Letter,18.892682513086314,1,AB21,L
67,Transmission,18.89287553958869,1,AB21,L
67,Approved,18.893479594175435,1,AB21,L
67,NoteHotline,18.89347968143119,1,AB21,L
67,InDelivery,18.894835881250938,1,AB21,L
67,Completed,18.894996823702396,1,AB21,L
68,Creation,18.88927148178695,0,AB50,L
68,Letter,18.89160408763109,0,AB50,L
68,DeviceReceived,18.89189445325582,0,AB50,L
68,NoteWorkshop,18.89189449695291,0,AB50,L
68,InDelivery,18.908190382441646,0,AB50,L
68,Completed,18.90847955800764,0,AB50,L
69,Creation,18.889630805890924,0,AB34,L
69,Letter,18.89214344573388,0,AB34,L
69,DeviceReceived,18.892412959581446,0,AB34,L
69,Transmission,18.895028281004485,0,AB34,L
69,InDelivery,18.89698462238303,0,AB34,L
69,Approved,18.897238622105306,0,AB34,L
69,NoteHotline,18.897238665569496,0,AB34,L
69,Completed,18.897282358541602,0,AB34,L
70,Creation,18.889633220931078,0,AB41,J
70,NoteHotline,18.889633577555685,0,AB41,J
70,DeviceReceived,18.890346134751926,0,AB41,J
70,InDelivery,18.893221290001698,0,AB41,J
70,NoteWorkshop,18.89353918185136,0,AB41,J
70,Completed,18.89356733222525,0,AB41,J
71,Creation,18.88963778196251,0,AB61,L
71,DeviceReceived,18.89230241970454,0,AB61,L
71,Transmission,18.89508745289983,0,AB61,L
71,Approved,18.895219610942675,0,AB61,L
71,NoteHotline,18.895219698046734,0,AB61,L
71,InDelivery,18.895373499540998,0,AB61,L
71,Completed,18.89553270103927,0,AB61,L
72,Creation,18.889639615128402,0,AB36,J
72,DeviceReceived,18.891905327529916,0,AB36,J
72,InDelivery,18.894835881250938,0,AB36,J
72,NoteWorkshop,18.895208772649543,0,AB36,J
72,Completed,18.895210589409512,0,AB36,J
73,Creation,18.805146453319,0,AB56,L
73,DeviceReceived,18.80983833773485,0,AB56,L
73,Letter,18.81309318205916,0,AB56,L
73,StatusRequest,18.81334988508933,0,AB56,L
73,Transmission,18.814117810994926,0,AB56,L
73,InDelivery,18.814259636724916,0,AB56,L
73,Approved,18.814490747773196,0,AB56,L
73,NoteHotline,18.814490902904087,0,AB56,L
73,Completed,18.814497971451395,0,AB56,L
74,Creation,18.889655875725854,1,AB34,L
74,Letter,18.89214344573388,1,AB34,L
74,DeviceReceived,18.892381351266,1,AB34,L
74,InDelivery,18.894835881250938,1,AB34,L
74,Transmission,18.895031523135057,1,AB34,L
74,Approved,18.895124918118853,1,AB34,L
74,NoteHotline,18.89512527901266,1,AB34,L
74,NoteWorkshop,18.89513054929185,1,AB34,L
74,Completed,18.895130935072707,1,AB34,L
75,Creation,18.88967325594129,0,AB52,L
75,NoteHotline,18.889673831522813,0,AB52,L
75,DeviceReceived,18.892929843990505,0,AB52,L
75,Letter,18.893221290001698,0,AB52,L
75,NoteWorkshop,18.89347118642439,0,AB52,L
75,InDelivery,18.909781003788225,0,AB52,L
75,Completed,18.909970488448426,0,AB52,L
76,Creation,18.889688314796594,0,AB20,L
76,Letter,18.89214344573388,0,AB20,L
76,DeviceReceived,18.892377314364186,0,AB20,L
76,InDelivery,18.895373499540998,0,AB20,L
76,Completed,18.89555183287274,0,AB20,L
77,Creation,18.88969168689805,1,AB22,E
77,Letter,18.89106443846415,1,AB22,E
77,DeviceReceived,18.891326660637358,1,AB22,E
77,StockEntry,18.89160408763109,1,AB22,E
77,InDelivery,18.89160408763109,1,AB22,E
77,NoteWorkshop,18.89185289021609,1,AB22,E
77,Completed,18.891857222641224,1,AB22,E
78,Creation,18.797007709729197,0,AB53,E
78,Letter,18.80017156881444,0,AB53,E
78,DeviceReceived,18.800495510160488,0,AB53,E
78,InDelivery,18.8054778800616,0,AB53,E
78,NoteWorkshop,18.805737103109728,0,AB53,E
78,Completed,18.80574209051936,0,AB53,E
79,Creation,18.805157713923986,0,AB52,L
79,DeviceReceived,18.80685833127421,0,AB52,L
79,Letter,18.809585632075805,0,AB52,L
79,Approved,18.80977513342321,0,AB52,L
79,Transmission,18.809986686489285,0,AB52,L
79,NoteHotline,18.81036187117744,0,AB52,L
79,InDelivery,18.81309318205916,0,AB52,L
79,Completed,18.813345259601586,0,AB52,L
80,Creation,18.889705875875702,0,AB52,L
80,DeviceReceived,18.891211821572746,0,AB52,L
80,InDelivery,18.894835881250938,0,AB52,L
80,Transmission,18.895030291002218,0,AB52,L
80,Approved,18.89505199623122,0,AB52,L
80,NoteHotline,18.89505207090436,0,AB52,L
80,Completed,18.89506051515595,0,AB52,L
81,Creation,18.889724956855392,1,AB26,L
81,DeviceReceived,18.893976267712983,1,AB26,L
81,Letter,18.895373499540998,1,AB26,L
81,Transmission,18.895624077744074,1,AB26,L
81,Approved,18.89564174012454,1,AB26,L
81,NoteHotline,18.895647635807446,1,AB26,L
81,InDelivery,18.89591082895293,1,AB26,L
81,Completed,18.896090738681675,1,AB26,L
