CaseID,Activity,time:timestamp,org:resource,org:role,case:Project,case:Task,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber
5,Request For Payment REJECTED by MISSING,11.598662697248793,STAFF MEMBER,MISSING,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,,,,,,,,,,,
5,Request For Payment APPROVED by PRE_APPROVER,16.40446613865874,STAFF MEMBER,PRE_APPROVER,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,,,,,,,,,,,
5,Request Payment,16.411166154703345,SYSTEM,UNDEFINED,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,,,,,,,,,,,
6,Request For Payment SUBMITTED by EMPLOYEE,11.57854465197804,STAFF MEMBER,EMPLOYEE,project 503,task 147599,organizational unit 65458,0.0,53.99955609576994,activity 505,request for payment number 147598
6,,,,,,,,,,,
6,Request Payment,14.145313461083338,SYSTEM,UNDEFINED,project 503,task 147599,organizational unit 65458,0.0,53.99955609576994,activity 505,request for payment number 147598
6,,,,,,,,,,,
7,Request For Payment SUBMITTED by EMPLOYEE,11.581723650840498,STAFF MEMBER,EMPLOYEE,project 147582,task 147599,organizational unit 65458,0.0,430.9164576442441,activity 505,request for payment number 149370
7,,,,,,,,,,,
7,Request Payment,14.145281821703238,SYSTEM,UNDEFINED,project 147582,task 147599,organizational unit 65458,0.0,430.9164576442441,activity 505,request for payment number 149370
7,,,,,,,,,,,
8,Request For Payment SUBMITTED by EMPLOYEE,11.59080275289071,STAFF MEMBER,EMPLOYEE,project 147582,UNKNOWN,organizational unit 65463,0.0,31.71504266521492,UNKNOWN,request for payment number 148224
8,,,,,,,,,,,
8,Request For Payment FINAL_APPROVED by SUPERVISOR,11.594837194165144,STAFF MEMBER,SUPERVISOR,project 147582,UNKNOWN,organizational unit 65463,0.0,31.71504266521492,UNKNOWN,request for payment number 148224
8,,,,,,,,,,,
8,Payment Handled,12.573680111082098,SYSTEM,UNDEFINED,project 147582,UNKNOWN,organizational unit 65463,0.0,31.71504266521492,UNKNOWN,request for payment number 148224
9,Request For Payment SUBMITTED by EMPLOYEE,11.655362088065267,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65463,0.0,246.8039601180534,UNKNOWN,request for payment number 149831
9,,,,,,,,,,,
9,Request Payment,12.476214280004966,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65463,0.0,246.8039601180534,UNKNOWN,request for payment number 149831
9,,,,,,,,,,,
10,Request For Payment SUBMITTED by EMPLOYEE,12.111118902194823,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65458,0.0,248.33579089019588,UNKNOWN,request for payment number 148630
10,,,,,,,,,,,
10,Request Payment,14.145210629437708,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,248.33579089019588,UNKNOWN,request for payment number 148630
10,,,,,,,,,,,
11,Request For Payment SUBMITTED by EMPLOYEE,12.463064813785714,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,325.2739525493613,UNKNOWN,request for payment number 147895
11,,,,,,,,,,,
11,Request Payment,12.803242924075928,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,325.2739525493613,UNKNOWN,request for payment number 147895
11,,,,,,,,,,,
12,Request For Payment SUBMITTED by EMPLOYEE,12.491687582929693,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,96.47232713406254,UNKNOWN,request for payment number 147899
12,,,,,,,,,,,
12,Request Payment,12.803042020006945,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,96.47232713406254,UNKNOWN,request for payment number 147899
12,,,,,,,,,,,
13,Request For Payment SUBMITTED by EMPLOYEE,12.497510157483372,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65463,0.0,460.89001284125504,UNKNOWN,request for payment number 148634
13,,,,,,,,,,,
13,Request For Payment FINAL_APPROVED by SUPERVISOR,13.453520083017542,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65463,0.0,460.89001284125504,UNKNOWN,request for payment number 148634
13,,,,,,,,,,,
13,Payment Handled,14.030058875865913,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65463,0.0,460.89001284125504,UNKNOWN,request for payment number 148634
14,Request For Payment SUBMITTED by EMPLOYEE,12.540170637289922,STAFF MEMBER,EMPLOYEE,project 147620,UNKNOWN,organizational unit 65463,0.0,4205.867568279362,UNKNOWN,request for payment number 149909
14,,,,,,,,,,,
14,Request For Payment FINAL_APPROVED by DIRECTOR,13.453996782885138,STAFF MEMBER,DIRECTOR,project 147620,UNKNOWN,organizational unit 65463,0.0,4205.867568279362,UNKNOWN,request for payment number 149909
14,,,,,,,,,,,
14,Payment Handled,13.703095215432745,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65463,0.0,4205.867568279362,UNKNOWN,request for payment number 149909
15,Request For Payment SUBMITTED by EMPLOYEE,12.564655767738207,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65458,0.0,38.63303375588632,UNKNOWN,request for payment number 149295
15,,,,,,,,,,,
15,Request Payment,12.802863098846013,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,38.63303375588632,UNKNOWN,request for payment number 149295
15,,,,,,,,,,,
16,Request For Payment SUBMITTED by EMPLOYEE,12.756298773978287,STAFF MEMBER,EMPLOYEE,project 147556,UNKNOWN,organizational unit 65463,0.0,112.586736524557,UNKNOWN,request for payment number 149914
16,,,,,,,,,,,
16,Request For Payment REJECTED by MISSING,13.316168742139569,STAFF MEMBER,MISSING,project 147556,UNKNOWN,organizational unit 65463,0.0,112.586736524557,UNKNOWN,request for payment number 149914
16,,,,,,,,,,,
16,Request For Payment FINAL_APPROVED by SUPERVISOR,13.317782123675538,STAFF MEMBER,SUPERVISOR,project 147556,UNKNOWN,organizational unit 65463,0.0,112.586736524557,UNKNOWN,request for payment number 149914
16,,,,,,,,,,,
16,Payment Handled,14.030058875865913,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65463,0.0,112.586736524557,UNKNOWN,request for payment number 149914
17,Request For Payment SUBMITTED by EMPLOYEE,12.844755720516131,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65458,0.0,325.19910712796417,UNKNOWN,request for payment number 149224
17,,,,,,,,,,,
17,Request Payment,13.346934708955061,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,325.19910712796417,UNKNOWN,request for payment number 149224
17,,,,,,,,,,,
18,Request For Payment SUBMITTED by EMPLOYEE,12.99914208117833,STAFF MEMBER,EMPLOYEE,project 147551,UNKNOWN,organizational unit 65458,0.0,185.5206789946729,UNKNOWN,request for payment number 148884
18,,,,,,,,,,,
18,Request Payment,14.144988390672527,SYSTEM,UNDEFINED,project 147551,UNKNOWN,organizational unit 65458,0.0,185.5206789946729,UNKNOWN,request for payment number 148884
18,,,,,,,,,,,
19,Request For Payment SUBMITTED by EMPLOYEE,13.319230302240314,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65463,0.0,41.02138175756728,UNKNOWN,request for payment number 149159
19,,,,,,,,,,,
19,Request For Payment FINAL_APPROVED by SUPERVISOR,13.993711135173925,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65463,0.0,41.02138175756728,UNKNOWN,request for payment number 149159
19,,,,,,,,,,,
19,Payment Handled,14.711136434930834,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65463,0.0,41.02138175756728,UNKNOWN,request for payment number 149159
20,Request For Payment SUBMITTED by EMPLOYEE,13.329691318695312,STAFF MEMBER,EMPLOYEE,project 503,task 74419,organizational unit 65463,0.0,3441.5162056141467,activity 505,UNKNOWN
20,,,,,,,,,,,
20,Request For Payment REJECTED by EMPLOYEE,14.709114683870714,STAFF MEMBER,EMPLOYEE,project 503,task 74419,organizational unit 65463,0.0,3441.5162056141467,activity 505,UNKNOWN
20,,,,,,,,,,,
20,Request For Payment APPROVED by PRE_APPROVER,14.709833760832705,STAFF MEMBER,PRE_APPROVER,project 503,task 74419,organizational unit 65463,0.0,3441.5162056141467,activity 505,UNKNOWN
20,,,,,,,,,,,
20,Request For Payment REJECTED by MISSING,14.776687079944814,STAFF MEMBER,MISSING,project 503,task 74419,organizational unit 65463,0.0,3441.5162056141467,activity 505,UNKNOWN
21,Request For Payment SUBMITTED by EMPLOYEE,13.335451744368434,STAFF MEMBER,EMPLOYEE,project 147908,UNKNOWN,organizational unit 65458,0.0,3.934400805535731,UNKNOWN,request for payment number 148505
21,,,,,,,,,,,
21,Request For Payment FINAL_APPROVED by SUPERVISOR,13.993711135173925,STAFF MEMBER,SUPERVISOR,project 147908,UNKNOWN,organizational unit 65458,0.0,3.934400805535731,UNKNOWN,request for payment number 148505
21,,,,,,,,,,,
21,Payment Handled,14.427481847374073,SYSTEM,UNDEFINED,project 147908,UNKNOWN,organizational unit 65458,0.0,3.934400805535731,UNKNOWN,request for payment number 148505
22,Request For Payment SUBMITTED by EMPLOYEE,13.339690043396974,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,38.46467306686371,UNKNOWN,request for payment number 147939
22,,,,,,,,,,,
22,Request Payment,13.346875591671948,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,38.46467306686371,UNKNOWN,request for payment number 147939
22,,,,,,,,,,,
23,Request For Payment SUBMITTED by EMPLOYEE,13.353595726012543,STAFF MEMBER,EMPLOYEE,project 503,task 147825,organizational unit 65463,0.0,23.42869687069603,activity 505,request for payment number 149661
23,,,,,,,,,,,
23,Request For Payment FINAL_APPROVED by SUPERVISOR,13.457121288265629,STAFF MEMBER,SUPERVISOR,project 503,task 147825,organizational unit 65463,0.0,23.42869687069603,activity 505,request for payment number 149661
23,,,,,,,,,,,
23,Payment Handled,14.030058875865913,SYSTEM,UNDEFINED,project 503,task 147825,organizational unit 65463,0.0,23.42869687069603,activity 505,request for payment number 149661
24,Request For Payment SUBMITTED by EMPLOYEE,13.452985679331805,STAFF MEMBER,EMPLOYEE,project 147556,UNKNOWN,organizational unit 65463,0.0,6.626098975813822,UNKNOWN,request for payment number 147747
24,,,,,,,,,,,
24,Request Payment,14.076756505040214,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65463,0.0,6.626098975813822,UNKNOWN,request for payment number 147747
24,,,,,,,,,,,
25,Request For Payment SUBMITTED by EMPLOYEE,13.46048282805188,STAFF MEMBER,EMPLOYEE,project 147620,UNKNOWN,organizational unit 65458,0.0,53.01544358794025,UNKNOWN,request for payment number 149155
25,,,,,,,,,,,
25,Request Payment,13.696504024139164,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65458,0.0,53.01544358794025,UNKNOWN,request for payment number 149155
25,,,,,,,,,,,
26,Request For Payment SUBMITTED by EMPLOYEE,13.46709994162968,STAFF MEMBER,EMPLOYEE,project 147843,UNKNOWN,organizational unit 65463,0.0,128.05998076667805,UNKNOWN,request for payment number 147903
26,,,,,,,,,,,
26,Request Payment,14.080886436811436,SYSTEM,UNDEFINED,project 147843,UNKNOWN,organizational unit 65463,0.0,128.05998076667805,UNKNOWN,request for payment number 147903
26,,,,,,,,,,,
27,Request For Payment SUBMITTED by EMPLOYEE,13.470003025717439,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65463,0.0,31.61435344730977,UNKNOWN,UNKNOWN
27,,,,,,,,,,,
27,Request For Payment REJECTED by MISSING,13.590904687983096,STAFF MEMBER,MISSING,project 503,UNKNOWN,organizational unit 65463,0.0,31.61435344730977,UNKNOWN,UNKNOWN
28,Request For Payment SUBMITTED by EMPLOYEE,13.474841125426645,STAFF MEMBER,EMPLOYEE,project 147531,UNKNOWN,organizational unit 65458,0.0,25.34672207446496,UNKNOWN,request for payment number 148148
28,,,,,,,,,,,
28,Request For Payment FINAL_APPROVED by SUPERVISOR,13.475078692348887,STAFF MEMBER,SUPERVISOR,project 147531,UNKNOWN,organizational unit 65458,0.0,25.34672207446496,UNKNOWN,request for payment number 148148
28,,,,,,,,,,,
28,Payment Handled,13.703095215432745,SYSTEM,UNDEFINED,project 147531,UNKNOWN,organizational unit 65458,0.0,25.34672207446496,UNKNOWN,request for payment number 148148
29,Request For Payment SUBMITTED by EMPLOYEE,13.476594136756036,STAFF MEMBER,EMPLOYEE,project 147908,UNKNOWN,organizational unit 65463,0.0,1699.9224747160142,UNKNOWN,request for payment number 147907
29,,,,,,,,,,,
29,Request Payment,13.694516246677143,SYSTEM,UNDEFINED,project 147908,UNKNOWN,organizational unit 65463,0.0,1699.9224747160142,UNKNOWN,request for payment number 147907
29,,,,,,,,,,,
30,Request For Payment SUBMITTED by EMPLOYEE,13.484617528581428,STAFF MEMBER,EMPLOYEE,project 147582,UNKNOWN,organizational unit 65458,0.0,46.53304952089496,UNKNOWN,request for payment number 148888
30,,,,,,,,,,,
30,Request Payment,13.696327167268294,SYSTEM,UNDEFINED,project 147582,UNKNOWN,organizational unit 65458,0.0,46.53304952089496,UNKNOWN,request for payment number 148888
30,,,,,,,,,,,
31,Request For Payment SUBMITTED by EMPLOYEE,13.566069231475252,STAFF MEMBER,EMPLOYEE,project 147551,UNKNOWN,organizational unit 65463,0.0,130.32384196154325,UNKNOWN,request for payment number 148434
31,,,,,,,,,,,
31,Request For Payment FINAL_APPROVED by SUPERVISOR,14.12876461234541,STAFF MEMBER,SUPERVISOR,project 147551,UNKNOWN,organizational unit 65463,0.0,130.32384196154325,UNKNOWN,request for payment number 148434
31,,,,,,,,,,,
31,Payment Handled,14.427481847374073,SYSTEM,UNDEFINED,project 147551,UNKNOWN,organizational unit 65463,0.0,130.32384196154325,UNKNOWN,request for payment number 148434
32,Request For Payment SUBMITTED by EMPLOYEE,13.57132083146862,STAFF MEMBER,EMPLOYEE,project 147551,UNKNOWN,organizational unit 65458,0.0,78.89250361246872,UNKNOWN,request for payment number 147920
32,,,,,,,,,,,
32,Request Payment,13.69617394112536,SYSTEM,UNDEFINED,project 147551,UNKNOWN,organizational unit 65458,0.0,78.89250361246872,UNKNOWN,request for payment number 147920
32,,,,,,,,,,,
33,Request For Payment SUBMITTED by EMPLOYEE,13.573901310263356,STAFF MEMBER,EMPLOYEE,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 147912
33,,,,,,,,,,,
33,Request Payment,13.69611534845371,SYSTEM,UNDEFINED,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 147912
33,,,,,,,,,,,
34,Request For Payment SUBMITTED by EMPLOYEE,13.576593252534023,STAFF MEMBER,EMPLOYEE,project 147531,UNKNOWN,organizational unit 65458,0.0,41.827541106078606,UNKNOWN,request for payment number 149835
34,,,,,,,,,,,
34,Request Payment,14.210309652512821,SYSTEM,UNDEFINED,project 147531,UNKNOWN,organizational unit 65458,0.0,41.827541106078606,UNKNOWN,request for payment number 149835
34,,,,,,,,,,,
35,Request For Payment SUBMITTED by EMPLOYEE,13.621575019216765,STAFF MEMBER,EMPLOYEE,project 147742,task 55559,organizational unit 65458,0.0,817.3563723766118,activity 505,request for payment number 147916
35,,,,,,,,,,,
35,Request Payment,13.696015056875583,SYSTEM,UNDEFINED,project 147742,task 55559,organizational unit 65458,0.0,817.3563723766118,activity 505,request for payment number 147916
35,,,,,,,,,,,
36,Request For Payment SUBMITTED by EMPLOYEE,13.69230735972985,STAFF MEMBER,EMPLOYEE,project 503,task 15842,organizational unit 65463,0.0,341.6368893649786,activity 505,request for payment number 147943
36,,,,,,,,,,,
36,Request For Payment FINAL_APPROVED by SUPERVISOR,14.004494869231593,STAFF MEMBER,SUPERVISOR,project 503,task 15842,organizational unit 65463,0.0,341.6368893649786,activity 505,request for payment number 147943
36,,,,,,,,,,,
36,Payment Handled,14.219915103875117,SYSTEM,UNDEFINED,project 503,task 15842,organizational unit 65463,0.0,341.6368893649786,activity 505,request for payment number 147943
37,Request For Payment SUBMITTED by EMPLOYEE,13.772071600514955,STAFF MEMBER,EMPLOYEE,project 147531,UNKNOWN,organizational unit 65463,0.0,16.162085783619368,UNKNOWN,request for payment number 147751
37,,,,,,,,,,,
37,Request Payment,14.021976609679879,SYSTEM,UNDEFINED,project 147531,UNKNOWN,organizational unit 65463,0.0,16.162085783619368,UNKNOWN,request for payment number 147751
37,,,,,,,,,,,
38,Request For Payment SUBMITTED by EMPLOYEE,14.088377932690541,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,8.495698109401438,UNKNOWN,request for payment number 148229
38,,,,,,,,,,,
38,Request Payment,14.263746480409184,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,8.495698109401438,UNKNOWN,request for payment number 148229
38,,,,,,,,,,,
39,Request For Payment SUBMITTED by EMPLOYEE,14.089675686754338,STAFF MEMBER,EMPLOYEE,project 147582,task 147756,organizational unit 65458,0.0,1249.8715657014827,activity 505,request for payment number 147755
39,,,,,,,,,,,
39,Request Payment,14.210149271587564,SYSTEM,UNDEFINED,project 147582,task 147756,organizational unit 65458,0.0,1249.8715657014827,activity 505,request for payment number 147755
39,,,,,,,,,,,
40,Request For Payment SUBMITTED by EMPLOYEE,14.20247015715436,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,6.617545567312693,UNKNOWN,request for payment number 149205
40,,,,,,,,,,,
40,Request Payment,14.263699211498258,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,6.617545567312693,UNKNOWN,request for payment number 149205
40,,,,,,,,,,,
41,Request For Payment SUBMITTED by EMPLOYEE,14.206359366498159,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65463,0.0,12.955840539247667,UNKNOWN,UNKNOWN
41,,,,,,,,,,,
41,Request For Payment REJECTED by EMPLOYEE,14.505087874133926,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65463,0.0,12.955840539247667,UNKNOWN,UNKNOWN
41,,,,,,,,,,,
41,Request For Payment APPROVED by PRE_APPROVER,14.508783230649753,STAFF MEMBER,PRE_APPROVER,project 503,UNKNOWN,organizational unit 65463,0.0,12.955840539247667,UNKNOWN,UNKNOWN
41,,,,,,,,,,,
41,Request For Payment REJECTED by MISSING,14.77679568776476,STAFF MEMBER,MISSING,project 503,UNKNOWN,organizational unit 65463,0.0,12.955840539247667,UNKNOWN,UNKNOWN
42,Request For Payment SUBMITTED by EMPLOYEE,14.20639995462005,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65463,0.0,28.07098783503661,UNKNOWN,UNKNOWN
42,,,,,,,,,,,
42,Request For Payment REJECTED by EMPLOYEE,14.50510292766428,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65463,0.0,28.07098783503661,UNKNOWN,UNKNOWN
42,,,,,,,,,,,
42,Request For Payment APPROVED by PRE_APPROVER,14.50876623263852,STAFF MEMBER,PRE_APPROVER,project 503,UNKNOWN,organizational unit 65463,0.0,28.07098783503661,UNKNOWN,UNKNOWN
42,,,,,,,,,,,
42,Request For Payment REJECTED by MISSING,14.776757829335777,STAFF MEMBER,MISSING,project 503,UNKNOWN,organizational unit 65463,0.0,28.07098783503661,UNKNOWN,UNKNOWN
43,Request For Payment SUBMITTED by EMPLOYEE,14.210612823481334,STAFF MEMBER,EMPLOYEE,project 503,task 148448,organizational unit 65458,0.0,1031.6698327131896,activity 505,request for payment number 148447
43,,,,,,,,,,,
43,Request For Payment FINAL_APPROVED by SUPERVISOR,14.26611982656166,STAFF MEMBER,SUPERVISOR,project 503,task 148448,organizational unit 65458,0.0,1031.6698327131896,activity 505,request for payment number 148447
43,,,,,,,,,,,
43,Payment Handled,14.427481847374073,SYSTEM,UNDEFINED,project 503,task 148448,organizational unit 65458,0.0,1031.6698327131896,activity 505,request for payment number 148447
44,Request For Payment SUBMITTED by EMPLOYEE,14.262435537106207,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65458,0.0,6.117806656383548,UNKNOWN,request for payment number 147760
44,,,,,,,,,,,
44,Request Payment,14.743870957468454,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,6.117806656383548,UNKNOWN,request for payment number 147760
44,,,,,,,,,,,
45,Request For Payment SUBMITTED by EMPLOYEE,14.265919075880902,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65458,0.0,5.580431142262634,UNKNOWN,request for payment number 148395
45,,,,,,,,,,,
45,Request Payment,14.836347594116114,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,5.580431142262634,UNKNOWN,request for payment number 148395
45,,,,,,,,,,,
46,Request For Payment SUBMITTED by EMPLOYEE,14.272714494528278,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65457,0.0,186.4984528352629,UNKNOWN,request for payment number 147764
46,,,,,,,,,,,
46,Request For Payment FINAL_APPROVED by SUPERVISOR,14.27273665107568,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65457,0.0,186.4984528352629,UNKNOWN,request for payment number 147764
46,,,,,,,,,,,
46,Payment Handled,14.711136434930834,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65457,0.0,186.4984528352629,UNKNOWN,request for payment number 147764
47,Request For Payment SUBMITTED by EMPLOYEE,14.369971941896457,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65458,0.0,307.46939935872024,UNKNOWN,request for payment number 147983
47,,,,,,,,,,,
47,Request Payment,14.413872770771896,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65458,0.0,307.46939935872024,UNKNOWN,request for payment number 147983
47,,,,,,,,,,,
48,Request For Payment SUBMITTED by EMPLOYEE,14.410320832802853,STAFF MEMBER,EMPLOYEE,project 147620,UNKNOWN,organizational unit 65458,0.0,189.58082016226803,UNKNOWN,request for payment number 148766
48,,,,,,,,,,,
48,Request Payment,15.01140955666175,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65458,0.0,189.58082016226803,UNKNOWN,request for payment number 148766
48,,,,,,,,,,,
49,Request For Payment SUBMITTED by EMPLOYEE,14.412886652518948,STAFF MEMBER,EMPLOYEE,project 147556,task 74099,organizational unit 65463,0.0,15.199653339264287,activity 505,request for payment number 148233
49,,,,,,,,,,,
49,Request Payment,14.464797278372375,SYSTEM,UNDEFINED,project 147556,task 74099,organizational unit 65463,0.0,15.199653339264287,activity 505,request for payment number 148233
49,,,,,,,,,,,
50,Request For Payment SUBMITTED by EMPLOYEE,14.413228301609047,STAFF MEMBER,EMPLOYEE,project 503,task 79257,organizational unit 65463,0.0,213.9119309902756,activity 505,request for payment number 147769
50,,,,,,,,,,,
50,Request Payment,14.464568955522875,SYSTEM,UNDEFINED,project 503,task 79257,organizational unit 65463,0.0,213.9119309902756,activity 505,request for payment number 147769
50,,,,,,,,,,,
51,Request For Payment SUBMITTED by EMPLOYEE,14.41535918404427,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65463,0.0,21.575440549026123,UNKNOWN,request for payment number 149374
51,,,,,,,,,,,
51,Request Payment,14.464759141111143,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65463,0.0,21.575440549026123,UNKNOWN,request for payment number 149374
51,,,,,,,,,,,
52,Request For Payment SUBMITTED by EMPLOYEE,14.417051640132355,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,23.480706342975964,UNKNOWN,request for payment number 148510
52,,,,,,,,,,,
52,Request For Payment FINAL_APPROVED by SUPERVISOR,14.457903246325117,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65458,0.0,23.480706342975964,UNKNOWN,request for payment number 148510
52,,,,,,,,,,,
52,Payment Handled,14.711136434930834,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,23.480706342975964,UNKNOWN,request for payment number 148510
