CaseID,Activity,CompleteTimestamp,REPAIR_IN_TIME_5D,DEVICETYPE,org:resource,CumTimeInterval
13,NoteHotline,2018-06-13 12:00:07,1.0,AB49,E,13990820.0
13,,,,,,
13,InDelivery,2018-06-19 00:00:00,1.0,AB49,E,14466013.0
13,,,,,,
13,Completed,2018-06-19 08:32:25,1.0,AB49,E,14496758.0
14,,,,,,
14,Letter,2018-06-14 00:00:00,1.0,AB53,G,14034013.0
14,,,,,,
14,DeviceReceived,2018-06-14 13:41:49,1.0,AB53,G,14083322.0
14,,,,,,
14,Completed,2018-06-14 14:28:24,1.0,AB53,G,14086117.0
15,,,,,,
15,Letter,2018-06-15 00:00:00,0.0,AB50,L,14120413.0
15,,,,,,
15,NoteWorkshop,2018-06-20 12:38:17,0.0,AB50,L,14597910.0
15,,,,,,
15,Completed,2018-07-23 08:19:44,0.0,AB50,L,17433597.0
16,,,,,,
16,Letter,2018-06-15 00:00:00,0.0,AB50,L,14120413.0
16,,,,,,
16,DeviceReceived,2018-06-15 11:25:22,0.0,AB50,L,14161535.0
16,,,,,,
16,Completed,2018-07-20 08:32:42,0.0,AB50,L,17175175.0
17,,,,,,
17,Letter,2018-06-15 00:00:00,0.0,AB44,L,14120413.0
17,,,,,,
17,InDelivery,2018-06-21 00:00:00,0.0,AB44,L,14638813.0
17,,,,,,
18,,,,,,
18,Letter,2018-06-15 00:00:00,0.0,AB45,E,14120413.0
18,,,,,,
18,StockEntry,2018-06-27 00:00:00,0.0,AB45,E,15157213.0
18,,,,,,
18,Completed,2018-06-27 09:49:22,0.0,AB45,E,15192575.0
19,,,,,,
19,Creation,2018-01-16 11:05:39,0.0,AB36,,1200352.0
19,,,,,,
19,NoteHotline,2018-01-16 11:06:29,0.0,AB36,,1200402.0
19,,,,,,
19,NoteWorkshop,2018-01-22 13:57:07,0.0,AB36,,1729040.0
19,,,,,,
20,,,,,,
20,DeviceReceived,2018-06-20 12:42:13,0.0,AB61,E,14598146.0
20,,,,,,
20,NoteHotline,2018-06-29 11:40:18,0.0,AB61,E,15372031.0
20,,,,,,
20,InDelivery,2018-07-18 00:00:00,0.0,AB61,E,16971613.0
20,,,,,,
21,,,,,,
21,Letter,2018-07-04 00:00:00,0.0,AB52,L,15762013.0
21,,,,,,
21,Transmission,2018-07-09 14:56:46,0.0,AB52,L,16247819.0
21,,,,,,
21,Approved,2018-07-10 08:24:55,0.0,AB52,L,16310708.0
21,,,,,,
21,Completed,2018-07-10 08:56:33,0.0,AB52,L,16312606.0
22,,,,,,
22,DeviceReceived,2018-07-10 12:50:29,0.0,AB62,E,16326642.0
22,,,,,,
22,NoteWorkshop,2018-07-25 11:13:10,0.0,AB62,E,17616803.0
22,,,,,,
22,NoteHotline,2018-07-26 12:17:46,0.0,AB62,E,17707079.0
22,,,,,,
22,InDelivery,2018-08-21 00:00:00,0.0,AB62,E,19909213.0
22,,,,,,
23,,,,,,
23,NoteHotline,2018-06-14 10:27:27,1.0,AB16,E,14071660.0
23,,,,,,
23,DeviceReceived,2018-06-18 12:39:41,1.0,AB16,E,14425194.0
23,,,,,,
23,InDelivery,2018-06-19 00:00:00,1.0,AB16,E,14466013.0
23,,,,,,
24,,,,,,
24,DeviceReceived,2018-06-15 11:40:03,0.0,AB36,E,14162416.0
24,,,,,,
24,InDelivery,2018-06-27 00:00:00,0.0,AB36,E,15157213.0
24,,,,,,
24,Completed,2018-06-27 09:58:08,0.0,AB36,E,15193101.0
25,,,,,,
25,DeviceReceived,2018-06-21 11:04:35,0.0,AB62,L,14678688.0
25,,,,,,
25,Transmission,2018-06-26 08:36:36,0.0,AB62,L,15101809.0
25,,,,,,
25,NoteHotline,2018-06-27 16:22:21,0.0,AB62,L,15216154.0
25,,,,,,
25,Completed,2018-06-28 07:54:40,0.0,AB62,L,15272093.0
26,,,,,,
26,DeviceReceived,2018-06-22 14:12:53,0.0,AB29,L,14776386.0
26,,,,,,
26,InDelivery,2018-06-28 00:00:00,0.0,AB29,L,15243613.0
26,,,,,,
26,Approved,2018-06-28 12:19:22,0.0,AB29,L,15287975.0
26,,,,,,
26,Completed,2018-06-28 12:54:41,0.0,AB29,L,15290094.0
27,,,,,,
27,DeviceReceived,2018-06-20 10:02:54,1.0,AB34,L,14588587.0
27,,,,,,
27,Completed,2018-06-22 11:43:21,1.0,AB34,L,14767414.0
28,,,,,,
28,DeviceReceived,2018-06-15 11:09:35,0.0,AB25,E,14160588.0
28,,,,,,
28,InDelivery,2018-06-22 00:00:00,0.0,AB25,E,14725213.0
28,,,,,,
29,,,,,,
29,DeviceReceived,2018-06-19 11:55:32,0.0,AB40,L,14508945.0
29,,,,,,
29,InDelivery,2018-06-25 00:00:00,0.0,AB40,L,14984413.0
29,,,,,,
30,,,,,,
30,Letter,2018-06-22 00:00:00,0.0,AB52,L,14725213.0
30,,,,,,
30,Transmission,2018-06-26 13:58:55,0.0,AB52,L,15121148.0
30,,,,,,
30,Approved,2018-06-29 09:08:54,0.0,AB52,L,15362947.0
30,,,,,,
30,Completed,2018-06-29 09:44:11,0.0,AB52,L,15365064.0
31,,,,,,
31,Letter,2018-06-21 00:00:00,0.0,AB62,E,14638813.0
31,,,,,,
31,Transmission,2018-07-02 15:44:26,0.0,AB62,E,15645879.0
31,,,,,,
31,NoteHotline,2018-07-02 16:55:59,0.0,AB62,E,15650172.0
31,,,,,,
31,StockEntry,2018-07-18 00:00:00,0.0,AB62,E,16971613.0
31,,,,,,
31,Completed,2018-07-18 08:39:24,0.0,AB62,E,17002777.0
32,,,,,,
32,Letter,2018-06-29 00:00:00,1.0,AB8,E,15330013.0
32,,,,,,
32,InDelivery,2018-07-02 00:00:00,1.0,AB8,E,15589213.0
32,,,,,,
32,NoteWorkshop,2018-07-02 09:21:56,1.0,AB8,E,15622929.0
32,,,,,,
33,,,,,,
33,Letter,2018-06-18 00:00:00,1.0,AB41,E,14379613.0
33,,,,,,
33,StockEntry,2018-06-19 00:00:00,1.0,AB41,E,14466013.0
33,,,,,,
33,NoteWorkshop,2018-06-19 09:33:03,1.0,AB41,E,14500396.0
33,,,,,,
34,,,,,,
34,DeviceReceived,2018-01-19 08:22:40,0.0,AB61,L,1449773.0
34,,,,,,
34,InDelivery,2018-01-30 00:00:00,0.0,AB61,L,2370013.0
34,,,,,,
34,NoteHotline,2018-11-14 14:45:55,0.0,AB61,L,27306368.0
35,,,,,,
35,DeviceReceived,2018-06-20 10:25:14,0.0,AC68,E,14589927.0
35,,,,,,
35,NoteWorkshop,2018-06-26 14:14:31,0.0,AC68,E,15122084.0
35,,,,,,
35,Approved,2018-06-26 15:18:18,0.0,AC68,E,15125911.0
35,,,,,,
35,Completed,2018-06-26 15:24:17,0.0,AC68,E,15126270.0
35,,,,,,
36,,,,,,
36,DeviceReceived,2018-06-22 14:06:55,0.0,AB49,L,14776028.0
36,,,,,,
36,Approved,2018-06-28 14:52:24,0.0,AB49,L,15297157.0
36,,,,,,
36,InDelivery,2018-06-29 00:00:00,0.0,AB49,L,15330013.0
36,,,,,,
37,,,,,,
37,Approved,2018-06-14 15:48:41,0.0,AB49,E,14090934.0
37,,,,,,
37,DeviceReceived,2018-06-27 10:18:33,0.0,AB49,E,15194326.0
37,,,,,,
37,InDelivery,2018-07-17 00:00:00,0.0,AB49,E,16885213.0
37,,,,,,
37,NoteWorkshop,2018-07-17 14:07:12,0.0,AB49,E,16936045.0
38,,,,,,
38,DeviceReceived,2018-06-23 08:03:58,1.0,AB38,L,14840651.0
38,,,,,,
38,InDelivery,2018-06-27 00:00:00,1.0,AB38,L,15157213.0
38,,,,,,
38,Approved,2018-06-27 09:36:32,1.0,AB38,L,15191805.0
38,,,,,,
38,Completed,2018-06-27 10:00:34,1.0,AB38,L,15193247.0
39,,,,,,
39,InDelivery,2018-06-14 00:00:00,1.0,AB36,,14034013.0
39,,,,,,
39,DeviceReceived,2018-06-14 11:55:28,1.0,AB36,,14076941.0
39,,,,,,
39,Completed,2018-06-14 14:02:20,1.0,AB36,,14084553.0
40,,,,,,
40,Creation,2018-06-14 11:44:34,1.0,AB53,,14076287.0
40,,,,,,
40,NoteWorkshop,2018-06-14 11:52:21,1.0,AB53,,14076754.0
40,,,,,,
40,Completed,2018-06-15 08:17:26,1.0,AB53,,14150259.0
41,,,,,,
41,Creation,2018-06-14 15:55:06,1.0,AB52,,14091319.0
41,,,,,,
41,StockEntry,2018-06-15 00:00:00,1.0,AB52,,14120413.0
41,,,,,,
41,NoteWorkshop,2018-06-15 09:04:00,1.0,AB52,,14153053.0
41,,,,,,
42,,,,,,
42,DeviceReceived,2018-01-19 11:57:53,0.0,AB52,L,1462686.0
42,,,,,,
42,StatusRequest,2018-01-24 16:56:28,0.0,AB52,L,1912601.0
42,,,,,,
42,InDelivery,2018-02-01 00:00:00,0.0,AB52,L,2542813.0
42,,,,,,
42,NoteHotline,2018-02-01 08:12:01,0.0,AB52,L,2572334.0
42,,,,,,
43,,,,,,
43,DeviceReceived,2018-06-22 14:30:28,0.0,AB61,L,14777441.0
43,,,,,,
43,Transmission,2018-06-28 13:41:48,0.0,AB61,L,15292921.0
43,,,,,,
43,Approved,2018-07-09 10:05:18,0.0,AB61,L,16230331.0
43,,,,,,
43,NoteHotline,2018-07-09 10:24:17,0.0,AB61,L,16231470.0
44,,,,,,
44,DeviceReceived,2018-06-21 11:36:47,0.0,AB40,E,14680620.0
44,,,,,,
44,StatusRequest,2018-07-02 12:06:26,0.0,AB40,E,15632799.0
44,,,,,,
44,StockEntry,2018-07-06 00:00:00,0.0,AB40,E,15934813.0
44,,,,,,
44,Approved,2018-07-06 11:41:29,0.0,AB40,E,15976902.0
44,,,,,,
44,NoteWorkshop,2018-07-06 13:12:43,0.0,AB40,E,15982376.0
44,,,,,,
45,,,,,,
45,Letter,2018-06-15 00:00:00,0.0,AB65,E,14120413.0
45,,,,,,
45,Transmission,2018-06-27 09:36:17,0.0,AB65,E,15191790.0
45,,,,,,
45,NoteHotline,2018-06-27 15:37:10,0.0,AB65,E,15213443.0
45,,,,,,
45,InDelivery,2018-07-03 00:00:00,0.0,AB65,E,15675613.0
45,,,,,,
45,NoteWorkshop,2018-07-03 14:28:18,0.0,AB65,E,15727711.0
46,,,,,,
46,DeviceReceived,2018-06-19 17:26:45,0.0,AB60,J,14528818.0
46,,,,,,
46,NoteWorkshop,2018-06-25 17:41:40,0.0,AB60,J,15048113.0
46,,,,,,
46,NoteHotline,2019-02-15 14:17:08,0.0,AB60,J,35339841.0
47,,,,,,
47,DeviceReceived,2018-06-15 11:17:03,0.0,AB8,E,14161036.0
47,,,,,,
47,StatusRequest,2018-06-27 15:39:06,0.0,AB8,E,15213559.0
47,,,,,,
47,Letter,2018-06-28 00:00:00,0.0,AB8,E,15243613.0
47,,,,,,
47,InDelivery,2018-06-28 00:00:00,0.0,AB8,E,15243613.0
47,,,,,,
48,,,,,,
48,NoteHotline,2018-06-14 12:34:48,0.0,AB53,E,14079301.0
48,,,,,,
48,DeviceReceived,2018-06-18 11:30:40,0.0,AB53,E,14421053.0
48,,,,,,
48,InDelivery,2018-06-27 00:00:00,0.0,AB53,E,15157213.0
48,,,,,,
48,Completed,2018-06-27 14:46:19,0.0,AB53,E,15210392.0
49,,,,,,
49,NoteHotline,2018-06-14 12:47:52,0.0,AB38,E,14080085.0
49,,,,,,
49,DeviceReceived,2018-06-18 11:51:34,0.0,AB38,E,14422307.0
49,,,,,,
49,InDelivery,2018-06-28 00:00:00,0.0,AB38,E,15243613.0
49,,,,,,
49,Completed,2018-06-28 10:37:32,0.0,AB38,E,15281865.0
50,,,,,,
50,DeviceReceived,2018-06-18 12:46:28,1.0,AB8,E,14425601.0
50,,,,,,
50,InDelivery,2018-06-19 00:00:00,1.0,AB8,E,14466013.0
50,,,,,,
51,,,,,,
51,DeviceReceived,2018-06-23 09:38:01,0.0,AB31,L,14846294.0
51,,,,,,
51,Transmission,2018-06-26 09:46:28,0.0,AB31,L,15106001.0
51,,,,,,
51,NoteHotline,2018-07-05 12:41:09,0.0,AB31,L,15894082.0
51,,,,,,
51,Completed,2018-07-06 09:03:18,0.0,AB31,L,15967411.0
52,,,,,,
52,DeviceReceived,2018-01-18 10:16:54,0.0,AB27,L,1370227.0
52,,,,,,
52,Transmission,2018-01-24 11:21:13,0.0,AB27,L,1892486.0
52,,,,,,
52,Approved,2018-01-24 12:34:33,0.0,AB27,L,1896886.0
52,,,,,,
52,Completed,2018-01-31 06:32:01,0.0,AB27,L,2479934.0
53,,,,,,
53,Letter,2018-06-18 00:00:00,1.0,AB10,E,14379613.0
53,,,,,,
53,StockEntry,2018-06-19 00:00:00,1.0,AB10,E,14466013.0
53,,,,,,
53,NoteHotline,2018-06-19 09:56:43,1.0,AB10,E,14501816.0
53,,,,,,
53,Completed,2018-06-19 11:08:26,1.0,AB10,E,14506119.0
54,,,,,,
54,NoteHotline,2018-06-14 11:12:35,1.0,AB47,E,14074368.0
54,,,,,,
54,StockEntry,2018-06-21 00:00:00,1.0,AB47,E,14638813.0
54,,,,,,
54,DeviceReceived,2018-06-21 10:29:36,1.0,AB47,E,14676589.0
54,,,,,,
54,Completed,2018-06-21 15:52:12,1.0,AB47,E,14695945.0
55,,,,,,
55,Letter,2018-06-19 00:00:00,1.0,AB20,L,14466013.0
55,,,,,,
55,InDelivery,2018-06-22 00:00:00,1.0,AB20,L,14725213.0
55,,,,,,
55,Approved,2018-06-22 11:15:25,1.0,AB20,L,14765738.0
55,,,,,,
55,NoteHotline,2018-06-25 13:47:08,1.0,AB20,L,15034041.0
56,,,,,,
56,DeviceReceived,2018-01-25 10:11:18,0.0,AB44,L,1974691.0
56,,,,,,
56,StatusRequest,2018-01-31 13:35:43,0.0,AB44,L,2505356.0
56,,,,,,
56,Approved,2018-02-01 16:05:36,0.0,AB44,L,2600749.0
56,,,,,,
56,InDelivery,2018-02-02 00:00:00,0.0,AB44,L,2629213.0
56,,,,,,
57,,,,,,
57,NoteHotline,2018-06-14 11:51:04,1.0,AB19,E,14076677.0
57,,,,,,
57,StockEntry,2018-06-18 00:00:00,1.0,AB19,E,14379613.0
57,,,,,,
57,Completed,2018-06-18 15:51:41,1.0,AB19,E,14436714.0
57,,,,,,
57,NoteWorkshop,2018-06-19 08:05:23,1.0,AB19,E,14495136.0
58,,,,,,
58,DeviceReceived,2018-06-26 07:56:10,0.0,AB59,L,15099383.0
58,,,,,,
58,StatusRequest,2018-06-27 10:06:47,0.0,AB59,L,15193620.0
58,,,,,,
58,InDelivery,2018-07-25 00:00:00,0.0,AB59,L,17576413.0
58,,,,,,
59,,,,,,
59,NoteHotline,2018-06-14 13:22:43,1.0,AB34,J,14082176.0
59,,,,,,
59,NoteWorkshop,2018-06-19 16:08:43,1.0,AB34,J,14524136.0
59,,,,,,
59,Completed,2018-06-20 11:50:35,1.0,AB34,J,14595048.0
60,,,,,,
60,Letter,2018-06-20 00:00:00,0.0,AB60,E,14552413.0
60,,,,,,
60,NoteHotline,2018-06-20 13:01:28,0.0,AB60,E,14599301.0
60,,,,,,
60,InDelivery,2018-06-29 00:00:00,0.0,AB60,E,15330013.0
60,,,,,,
60,Completed,2018-06-29 12:45:43,0.0,AB60,E,15375956.0
61,,,,,,
61,DeviceReceived,2018-07-19 11:01:20,0.0,AB62,L,17097693.0
61,,,,,,
61,NoteHotline,2018-09-20 16:35:57,0.0,AB62,L,22560970.0
61,,,,,,
61,Completed,2018-10-09 12:40:14,0.0,AB62,L,24188427.0
62,,,,,,
62,DeviceReceived,2018-01-24 10:21:19,0.0,AB38,L,1888892.0
62,,,,,,
62,Transmission,2018-02-02 08:31:06,0.0,AB38,L,2659879.0
62,,,,,,
62,NoteHotline,2018-02-02 11:06:55,0.0,AB38,L,2669228.0
62,,,,,,
62,Completed,2018-02-05 07:51:31,0.0,AB38,L,2916704.0
63,,,,,,
63,DeviceReceived,2018-06-20 05:58:50,1.0,AB62,L,14573943.0
63,,,,,,
63,InDelivery,2018-06-25 00:00:00,1.0,AB62,L,14984413.0
63,,,,,,
63,Approved,2018-06-25 12:43:33,1.0,AB62,L,15030226.0
63,,,,,,
63,Completed,2018-06-25 13:06:36,1.0,AB62,L,15031609.0
64,,,,,,
64,Creation,2018-06-14 09:20:26,1.0,AB62,L,14067639.0
64,,,,,,
64,InDelivery,2018-06-22 00:00:00,1.0,AB62,L,14725213.0
64,,,,,,
65,,,,,,
65,Letter,2018-06-15 00:00:00,0.0,AB62,E,14120413.0
65,,,,,,
65,NoteWorkshop,2018-06-26 09:54:34,0.0,AB62,E,15106487.0
65,,,,,,
65,NoteHotline,2018-06-26 11:16:35,0.0,AB62,E,15111408.0
65,,,,,,
65,InDelivery,2018-07-18 00:00:00,0.0,AB62,E,16971613.0
65,,,,,,
66,,,,,,
66,Creation,2018-06-14 10:36:42,0.0,AB36,J,14072215.0
66,,,,,,
66,NoteWorkshop,2018-06-19 16:16:53,0.0,AB36,J,14524626.0
66,,,,,,
66,Completed,2018-06-22 15:44:40,0.0,AB36,J,14781893.0
67,,,,,,
67,DeviceReceived,2018-06-20 07:15:43,1.0,AB21,L,14578556.0
67,,,,,,
67,Transmission,2018-06-21 08:35:49,1.0,AB21,L,14669762.0
67,,,,,,
67,NoteHotline,2018-06-22 11:30:53,1.0,AB21,L,14766666.0
67,,,,,,
67,Completed,2018-06-25 07:11:00,1.0,AB21,L,15010273.0
68,,,,,,
68,Letter,2018-06-19 00:00:00,0.0,AB50,L,14466013.0
68,,,,,,
68,NoteWorkshop,2018-06-19 12:55:15,0.0,AB50,L,14512528.0
68,,,,,,
68,Completed,2018-07-20 13:04:52,0.0,AB50,L,17191505.0
69,,,,,,
69,Letter,2018-06-20 00:00:00,0.0,AB34,L,14552413.0
69,,,,,,
69,Transmission,2018-06-25 08:35:15,0.0,AB34,L,15015328.0
69,,,,,,
69,Approved,2018-06-29 11:21:42,0.0,AB34,L,15370915.0
69,,,,,,
69,Completed,2018-06-29 13:19:06,0.0,AB34,L,15377959.0
70,,,,,,
70,NoteHotline,2018-06-15 08:25:39,0.0,AB41,J,14150752.0
70,,,,,,
70,InDelivery,2018-06-22 00:00:00,0.0,AB41,J,14725213.0
70,,,,,,
70,Completed,2018-06-22 15:25:17,0.0,AB41,J,14780730.0
71,,,,,,
71,DeviceReceived,2018-06-20 07:04:35,0.0,AB61,L,14577888.0
71,,,,,,
71,Approved,2018-06-25 17:07:44,0.0,AB61,L,15046077.0
71,,,,,,
71,InDelivery,2018-06-26 00:00:00,0.0,AB61,L,15070813.0
71,,,,,,
72,,,,,,
72,DeviceReceived,2018-06-19 13:24:10,0.0,AB36,J,14514263.0
72,,,,,,
72,NoteWorkshop,2018-06-25 16:38:42,0.0,AB36,J,15044335.0
72,,,,,,
73,,,,,,
73,DeviceReceived,2018-01-24 10:21:28,0.0,AB56,L,1888901.0
73,,,,,,
73,StatusRequest,2018-01-30 10:33:31,0.0,AB56,L,2408024.0
73,,,,,,
73,InDelivery,2018-02-01 00:00:00,0.0,AB56,L,2542813.0
73,,,,,,
73,NoteHotline,2018-02-01 09:31:24,0.0,AB56,L,2577097.0
73,,,,,,
74,,,,,,
74,Letter,2018-06-20 00:00:00,1.0,AB34,L,14552413.0
74,,,,,,
74,InDelivery,2018-06-25 00:00:00,1.0,AB34,L,14984413.0
74,,,,,,
74,Approved,2018-06-25 12:54:05,1.0,AB34,L,15030858.0
74,,,,,,
74,NoteWorkshop,2018-06-25 13:09:10,1.0,AB34,L,15031763.0
74,,,,,,
75,,,,,,
75,NoteHotline,2018-06-15 10:12:53,0.0,AB52,L,14157186.0
75,,,,,,
75,Letter,2018-06-22 00:00:00,0.0,AB52,L,14725213.0
75,,,,,,
75,InDelivery,2018-07-23 00:00:00,0.0,AB52,L,17403613.0
75,,,,,,
76,,,,,,
76,Letter,2018-06-20 00:00:00,0.0,AB20,L,14552413.0
76,,,,,,
76,InDelivery,2018-06-26 00:00:00,0.0,AB20,L,15070813.0
76,,,,,,
77,,,,,,
77,Letter,2018-06-18 00:00:00,1.0,AB22,E,14379613.0
77,,,,,,
77,StockEntry,2018-06-19 00:00:00,1.0,AB22,E,14466013.0
77,,,,,,
77,NoteWorkshop,2018-06-19 11:04:10,1.0,AB22,E,14505863.0
77,,,,,,
78,,,,,,
78,Letter,2018-01-08 00:00:00,0.0,AB53,E,469213.0
78,,,,,,
78,InDelivery,2018-01-17 00:00:00,0.0,AB53,E,1246813.0
78,,,,,,
78,Completed,2018-01-17 10:47:06,0.0,AB53,E,1285639.0
79,,,,,,
79,DeviceReceived,2018-01-19 08:22:52,0.0,AB52,L,1449785.0
79,,,,,,
79,Approved,2018-01-24 07:46:01,0.0,AB52,L,1879574.0
79,,,,,,
79,NoteHotline,2018-01-25 07:49:28,0.0,AB52,L,1966181.0
79,,,,,,
79,Completed,2018-01-30 10:22:06,0.0,AB52,L,2407339.0
80,,,,,,
80,DeviceReceived,2018-06-18 06:33:12,0.0,AB52,L,14403205.0
80,,,,,,
80,Transmission,2018-06-25 08:40:38,0.0,AB52,L,15015651.0
80,,,,,,
80,NoteHotline,2018-06-25 09:38:58,0.0,AB52,L,15019151.0
80,,,,,,
81,,,,,,
81,DeviceReceived,2018-06-23 09:39:09,1.0,AB26,L,14846362.0
81,,,,,,
81,Transmission,2018-06-26 11:11:26,1.0,AB26,L,15111099.0
81,,,,,,
81,NoteHotline,2018-06-26 12:14:34,1.0,AB26,L,15114887.0
81,,,,,,
81,Completed,2018-06-27 08:02:19,1.0,AB26,L,15186152.0
82,,,,,,
82,NoteHotline,2018-06-15 09:05:31,1.0,AB44,E,14153144.0
82,,,,,,
82,StockEntry,2018-06-20 00:00:00,1.0,AB44,E,14552413.0
82,,,,,,
82,NoteWorkshop,2018-06-20 12:05:45,1.0,AB44,E,14595958.0
82,,,,,,
83,,,,,,
83,Letter,2018-06-19 00:00:00,0.0,AB59,L,14466013.0
83,,,,,,
83,Transmission,2018-06-26 12:22:12,0.0,AB59,L,15115345.0
83,,,,,,
83,Approved,2018-06-28 12:03:02,0.0,AB59,L,15286995.0
83,,,,,,
83,Completed,2018-06-28 12:58:05,0.0,AB59,L,15290298.0
84,,,,,,
84,DeviceReceived,2018-06-19 10:07:15,0.0,AB55,E,14502448.0
84,,,,,,
84,NoteWorkshop,2018-06-28 13:39:44,0.0,AB55,E,15292797.0
84,,,,,,
84,StockEntry,2018-09-14 00:00:00,0.0,AB55,E,21982813.0
85,,,,,,
85,NoteWorkshop,2018-06-20 10:15:01,1.0,AB20,L,14589314.0
85,,,,,,
85,InDelivery,2018-06-22 00:00:00,1.0,AB20,L,14725213.0
85,,,,,,
86,,,,,,
86,NoteHotline,2018-06-15 10:50:56,1.0,AB52,E,14159469.0
86,,,,,,
86,DeviceReceived,2018-06-20 11:24:35,1.0,AB52,E,14593488.0
86,,,,,,
86,InDelivery,2018-06-21 00:00:00,1.0,AB52,E,14638813.0
86,,,,,,
86,Completed,2018-06-21 07:28:10,1.0,AB52,E,14665703.0
87,,,,,,
87,DeviceReceived,2018-06-18 17:17:57,0.0,AB34,J,14441890.0
87,,,,,,
87,InDelivery,2018-06-25 00:00:00,0.0,AB34,J,14984413.0
87,,,,,,
88,,,,,,
88,Letter,2018-06-21 00:00:00,1.0,AB9,E,14638813.0
88,,,,,,
88,NoteWorkshop,2018-06-21 11:56:30,1.0,AB9,E,14681803.0
88,,,,,,
88,InDelivery,2018-06-22 00:00:00,1.0,AB9,E,14725213.0
88,,,,,,
89,,,,,,
89,Letter,2018-06-20 00:00:00,1.0,AB52,L,14552413.0
89,,,,,,
89,InDelivery,2018-06-22 00:00:00,1.0,AB52,L,14725213.0
89,,,,,,
90,,,,,,
90,DeviceReceived,2018-06-22 08:28:09,1.0,AB27,L,14755702.0
90,,,,,,
